#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 10,235,110,327|$ 833.37|12,281,585|$ 15,553,591|-0.04 %|0.38 %|-7.74 %|False|False
2|Litecoin|LTC|$ 607,911,844|$ 24.32|24,992,492|$ 4,662,026|-0.05 %|0.65 %|-7.62 %|False|False
3|Ripple|XRP|$ 163,585,261|$ 0.020924|7,817,889,792|$ 32,739|-0.22 %|-0.65 %|-11.25 %|True|False
4|Peercoin|PPC|$ 121,016,304|$ 5.75|21,061,711|$ 796,044|-0.23 %|-1.46 %|-10.59 %|False|False
5|Mastercoin (...|MSC|$ 77,580,618|$ 125.24|619,478|$ 22,763|0.07 %|5.60 %|5.04 %|True|False
6|Nxt|NXT|$ 47,362,655|$ 0.047363|999,998,016|$ 626,142|0.15 %|48.26 %|6.02 %|True|False
7|Namecoin|NMC|$ 47,016,519|$ 6.03|7,803,419|$ 627,739|-0.13 %|0.25 %|-11.52 %|False|False
8|Quark|QRK|$ 20,857,722|$ 0.084339|247,307,706|$ 148,257|2.94 %|27.40 %|8.11 %|False|False
9|Dogecoin|DOGE|$ 20,456,656|$ 0.000655|31,210,354,496|$ 3,653,349|1.23 %|40.72 %|84.35 %|False|False
10|BitShares PTS|PTS|$ 16,081,821|$ 11.95|1,345,260|$ 23,363|-0.35 %|-5.09 %|-18.14 %|True|False
11|Megacoin|MEC|$ 15,428,792|$ 0.708099|21,789,045|$ 5,430|-0.26 %|-3.50 %|-13.80 %|False|False
12|WorldCoin|WDC|$ 13,066,373|$ 0.320492|40,769,774|$ 85,408|-0.57 %|-10.60 %|-27.05 %|False|False
13|Primecoin|XPM|$ 13,010,684|$ 3.19|4,078,662|$ 239,456|-0.31 %|-3.91 %|-15.07 %|False|False
14|Feathercoin|FTC|$ 9,513,154|$ 0.313871|30,309,149|$ 48,147|0.10 %|1.32 %|-14.35 %|False|False
15|Novacoin|NVC|$ 8,352,111|$ 14.76|565,679|$ 253,876|0.00 %|1.61 %|-8.46 %|False|False
16|YbCoin|YBC|$ 5,108,603|$ 5.50|929,448|$ 3,009|0.12 %|-2.32 %|?|True|False
17|Infinitecoin|IFC|$ 4,983,854|$ 0.000056|89,775,536,892|$ 20,517|-0.08 %|-2.94 %|-23.99 %|False|False
18|Digitalcoin|DGC|$ 3,821,251|$ 0.307170|12,440,199|$ 18,581|-0.70 %|-6.40 %|?|False|False
19|Zetacoin|ZET|$ 3,054,484|$ 0.019122|159,739,276|$ 3,832|0.53 %|-3.95 %|-28.62 %|False|False
20|Anoncoin|ANC|$ 2,589,016|$ 3.85|671,743|$ 12,975|-0.58 %|1.63 %|-25.40 %|False|False
21|Tickets|TIX|$ 2,517,105|$ 0.000038|66,876,280,832|$ 1,498|-0.49 %|3.61 %|-11.00 %|False|False
22|Devcoin|DVC|$ 2,438,213|$ 0.000398|6,121,078,487|$ 4,700|0.30 %|2.68 %|-26.43 %|False|False
23|Copperlark|CLR|$ 2,334,583|$ 0.399209|5,848,027|$ 4,264|0.09 %|9.10 %|19.05 %|False|True
24|Terracoin|TRC|$ 2,155,589|$ 0.434127|4,965,340|$ 13,582|-0.18 %|-4.25 %|-21.90 %|False|False
25|Ixcoin|IXC|$ 1,890,488|$ 0.106644|17,727,070|$ 1,034|0.95 %|-2.42 %|-15.70 %|True|False
26|Freicoin|FRC|$ 1,786,926|$ 0.049805|35,878,373|$ 191|-0.27 %|-3.29 %|?|False|False
27|TagCoin|TAG|$ 1,083,939|$ 1.50|723,184|$ 8,249|-0.84 %|-13.75 %|-24.49 %|False|False
28|Mincoin|MNC|$ 988,038|$ 0.647048|1,526,992|$ 2,128|0.43 %|5.21 %|7.16 %|False|False
29|BitBar|BTB|$ 942,898|$ 101.78|9,264|$ 11,599|-0.55 %|-5.90 %|-12.58 %|False|False
30|Extremecoin|EXC|$ 856,113|$ 0.247392|3,460,552|$ 651|-0.12 %|7.11 %|?|False|False
31|Crypto Bullion|CBX|$ 851,156|$ 0.909404|935,949|$ 8,619|-0.31 %|-0.59 %|-24.89 %|False|False
32|BBQCoin|BQC|$ 821,746|$ 0.026749|30,720,086|$ 2,078|-0.25 %|-11.57 %|-28.94 %|False|False
33|EarthCoin|EAC|$ 797,786|$ 0.000965|826,365,260|$ 56,066|-0.38 %|-3.35 %|-50.14 %|False|False
34|GoldCoin|GLD|$ 709,441|$ 0.024148|29,379,013|$ 4,206|0.07 %|-6.66 %|-38.42 %|False|False
35|Frozen|FZ|$ 703,478|$ 0.147352|4,774,133|$ 24,837|-2.29 %|39.02 %|?|False|False
36|Sexcoin|SXC|$ 578,807|$ 0.010566|54,779,231|$ 4,202|-0.31 %|-11.89 %|-22.63 %|False|False
37|Memorycoin|MMC|$ 571,968|$ 0.201704|2,835,678|$ 7,538|-1.00 %|-15.54 %|-33.20 %|False|False
38|Fastcoin|FST|$ 554,240|$ 0.010478|52,895,814|$ 8,871|0.45 %|-4.71 %|-18.84 %|False|False
39|Datacoin|DTC|$ 518,822|$ 0.273523|1,896,810|$ 5,949|-0.88 %|-3.77 %|?|False|False
40|StableCoin|SBC|$ 510,375|$ 0.053014|9,627,166|$ 8,053|0.54 %|30.27 %|-33.83 %|False|False
41|AsicCoin|ASC|$ 486,744|$ 0.001204|404,287,367|$ 12,917|-0.06 %|-3.09 %|-41.81 %|False|False
42|Unobtanium|UNO|$ 483,025|$ 3.69|131,035|$ 5,833|-0.71 %|-8.21 %|-35.88 %|False|False
43|I0Coin|I0C|$ 440,956|$ 0.021919|20,117,664|$ 1,436|-0.48 %|-6.30 %|-27.52 %|False|False
44|LottoCoin|LOT|$ 439,972|$ 0.000100|4,404,680,672|$ 23,324|-0.16 %|-6.69 %|-36.90 %|False|False
45|Yacoin|YAC|$ 439,566|$ 0.029534|14,883,578|$ 2,275|0.67 %|0.36 %|-22.19 %|False|False
46|Junkcoin|JKC|$ 411,424|$ 0.040624|10,127,531|$ 6,480|-0.09 %|6.84 %|-18.14 %|False|False
47|QQCoin|QQC|$ 351,448|$ 0.025106|13,998,583|$ 9,843|0.55 %|66.15 %|?|False|False
48|FlorinCoin|FLO|$ 349,121|$ 0.008874|39,340,059|$ 1,591|-1.32 %|-2.50 %|-47.92 %|False|False
49|42 Coin|42|$ 331,185|$ 338,190|0.97928785|$ 59,299|-0.79 %|-24.24 %|?|False|False
50|eToken|ETOK|$ 311,153|$ 1.39|224,655|$ 5,745|-0.72 %|-0.80 %|?|False|False
51|Philosopher ...|PHS|$ 251,149|$ 0.152725|1,644,453|$ 1,641|0.21 %|-2.40 %|-1.79 %|True|False
52|RonPaulCoin|RPC|$ 240,179|$ 17.95|13,383|$ 5,775|-0.18 %|-3.24 %|-4.05 %|False|False
53|GrandCoin|GDC|$ 231,646|$ 0.000754|307,318,423|$ 3,892|-0.01 %|4.66 %|-26.83 %|False|False
54|Bytecoin|BTE|$ 230,878|$ 0.125226|1,843,695|$ 330|-0.58 %|-2.33 %|-8.17 %|False|False
55|GlobalCoin|GLC|$ 204,432|$ 0.007867|25,985,021|$ 2,053|-0.44 %|-10.91 %|-26.61 %|False|False
56|Deutsche eMark|DEM|$ 198,637|$ 0.055753|3,562,776|$ 2,561|-1.14 %|-4.31 %|-61.13 %|False|False
57|Catcoin|CAT|$ 196,521|$ 0.186179|1,055,548|$ 7,489|-0.99 %|15.09 %|-32.37 %|False|False
58|Diamond|DMD|$ 154,667|$ 0.683837|226,175|$ 2,156|-0.93 %|-8.66 %|-43.13 %|False|False
59|BetaCoin|BET|$ 151,997|$ 0.027142|5,600,148|$ 130|-0.51 %|-0.93 %|-34.32 %|False|False
60|Franko|FRK|$ 148,561|$ 1.52|97,813|$ 1,454|-0.75 %|6.31 %|-12.26 %|False|False
61|EZCoin|EZC|$ 132,950|$ 0.009582|13,874,819|$ 574|-0.46 %|-1.93 %|-34.16 %|False|False
62|Tigercoin|TGC|$ 115,379|$ 0.004567|25,262,030|$ 739|0.20 %|-5.92 %|-44.36 %|False|False
63|Elacoin|ELC|$ 108,385|$ 0.657776|164,774|$ 1,636|-0.75 %|-12.50 %|55.53 %|False|False
64|Krugercoin|KGC|$ 105,563|$ 0.003293|32,052,992|$ 1,780|0.11 %|4.86 %|?|False|False
65|CasinoCoin|CSC|$ 104,660|$ 0.011052|9,469,451|$ 765|0.00 %|1.37 %|-22.52 %|False|False
66|Argentum|ARG|$ 103,279|$ 0.167745|615,691|$ 1,445|-0.07 %|-7.41 %|-41.45 %|False|False
67|Luckycoin|LKY|$ 102,186|$ 0.008932|11,440,362|$ 1,200|-0.26 %|-11.55 %|-39.64 %|False|False
68|Orbitcoin|ORB|$ 88,651|$ 0.081876|1,082,747|$ 617|-0.22 %|2.85 %|-15.30 %|False|False
69|Phoenixcoin|PXC|$ 81,070|$ 0.009320|8,698,177|$ 1,294|-0.46 %|-7.78 %|-36.77 %|False|False
70|Mooncoin|MOON|$ 74,466|$ 0.000004|19,104,734,128|$ 1,258|6.01 %|40.71 %|?|False|False
71|Xivra|XIV|$ 69,740|$ 0.000319|218,850,929|$ 1,783|-0.21 %|-13.64 %|?|False|False
72|CraftCoin|CRC|$ 58,114|$ 0.198260|293,121|$ 483|-0.38 %|-5.67 %|-24.32 %|False|False
73|Joulecoin|XJO|$ 53,634|$ 0.015204|3,527,641|$ 961|0.08 %|1.13 %|?|False|False
74|Dimecoin|DIME|$ 52,132|$ 5.6e-07|92,634,513,640|$ 80|0.88 %|7.40 %|-40.41 %|False|False
75|Noirbits|NRB|$ 51,523|$ 0.024384|2,112,941|$ 423|0.00 %|0.53 %|-23.09 %|False|False
76|FedoraCoin|TIPS|$ 43,279|$ 5.2e-07|83,316,211,712|$ 762|1.54 %|-18.71 %|-45.53 %|False|False
