#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$9,633,172,217|$606.85|15,874,099|$34,080,585|0.04%|-0.07%|-2.64%|False|False
2|Ethereum|ETH|$1,073,466,258|$12.77|84,083,673|$7,718,634|0.07%|1.89%|6.56%|False|False
3|Ripple|XRP|$245,150,121|$0.006914|35,457,828,433|$1,729,478|-0.17%|-6.23%|17.74%|True|False
4|Litecoin|LTC|$186,146,525|$3.91|47,606,312|$1,198,634|0.51%|2.72%|-1.44%|False|False
5|Monero|XMR|$122,807,804|$9.50|12,920,963|$4,076,287|-0.28%|3.71%|-22.00%|False|False
6|Ethereum Cla...|ETC|$111,800,795|$1.33|84,041,692|$1,043,040|0.07%|1.32%|-4.41%|False|False
7|Dash|DASH|$79,226,040|$11.74|6,746,728|$358,653|-0.06%|-0.72%|3.23%|False|False
8|Steem|STEEM|$78,197,444|$0.532798|146,767,636|$164,132|0.09%|0.31%|-26.27%|False|False
9|NEM|XEM|$46,938,428|$0.005215|8,999,999,999|$90,919|-0.06%|-3.85%|-11.44%|True|False
10|MaidSafeCoin|MAID|$41,622,526|$0.091973|452,552,412|$152,787|0.02%|-0.01%|-12.86%|True|False
11|Factom|FCT|$29,885,706|$3.41|8,753,219|$521,555|-0.19%|4.55%|17.49%|True|False
12|DigixDAO|DGD|$29,845,477|$14.92|2,000,000|$219,875|-0.26%|-3.93%|49.37%|True|False
13|Lisk|LSK|$25,619,101|$0.256191|100,000,000|$205,753|-0.15%|-0.46%|0.80%|True|False
14|Dogecoin|DOGE|$25,154,730|$0.000237|106,077,704,304|$308,905|-0.13%|-3.46%|3.08%|False|False
15|Nxt|NXT|$17,923,300|$0.017941|998,999,994|$216,816|-0.07%|-3.34%|-13.38%|True|False
16|Waves|WAVES|$17,830,964|$0.178310|100,000,000|$92,426|-0.08%|7.63%|9.41%|True|False
17|Emercoin|EMC|$15,584,111|$0.404148|38,560,393|$37,732|0.01%|1.90%|-4.52%|False|False
18|BitShares|BTS|$13,281,069|$0.005160|2,573,804,583|$99,966|0.08%|-1.84%|-0.51%|True|False
19|Stellar|XLM|$13,005,798|$0.002135|6,092,409,114|$48,294|-0.14%|1.78%|5.66%|True|False
20|Counterparty|XCP|$12,871,654|$4.91|2,623,502|$224,740|-0.93%|-5.44%|37.17%|True|False
21|Bytecoin|BCN|$12,510,254|$0.000069|181,427,664,969|$5,251|0.10%|0.43%|21.35%|False|False
22|Synereo|AMP|$11,839,865|$0.189180|62,585,264|$591,836|0.23%|8.60%|9.84%|True|False
23|Peerplays|PEERPLAYS|$11,448,070|$11.45|1,000,000|$566|0.84%|3.87%|4.02%|True|False
24|Bitcrystals|BCY|$10,549,556|$0.251254|41,987,655|$123,800|-1.27%|-0.69%|-29.79%|True|False
25|Storjcoin X|SJCX|$9,224,314|$0.183320|50,318,144|$31,513|0.21%|-2.22%|15.96%|True|False
26|Siacoin|SC|$9,200,070|$0.000496|18,553,452,645|$68,519|0.08%|-0.90%|-4.92%|False|False
