#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
56|Nexium|NXC|$3,483,745|$0.052370|66,521,586|$14,027|0.05%|-1.59%|-17.44%|True|False
57|Creditbit|CRBIT|$3,403,927|$0.271211|12,550,848|$399,121|-0.06%|4.01%|19.21%|False|False
58|Synereo|AMP|$3,161,430|$0.038434|82,256,324|$16,358|0.06%|-2.10%|3.55%|True|False
59|Golos|GOLOS|$2,938,945|$0.024743|118,777,300|$449|-0.63%|-0.66%|-13.07%|False|False
60|LoMoCoin|LMC|$2,729,907|$0.013471|202,655,692|$364|0.23%|0.51%|-2.75%|True|False
61|BlackCoin|BLK|$2,678,168|$0.035241|75,996,096|$21,067|-0.46%|-5.29%|-5.39%|True|False
62|ZCoin|XZC|$2,670,979|$2.24|1,192,865|$123,814|-0.66%|-4.13%|48.18%|False|False
63|ION|ION|$2,552,193|$0.224940|11,346,116|$8,662|-0.10%|-4.25%|-16.97%|True|False
64|SuperNET|UNITY|$2,442,776|$2.99|816,061|$2,182|1.03%|20.56%|11.27%|True|False
65|PIVX|PIVX|$2,380,200|$0.045685|52,099,904|$17,787|-0.17%|-0.67%|51.08%|False|False
66|NAV Coin|NAV|$2,371,668|$0.039053|60,729,545|$37,669|0.12%|4.06%|-2.24%|True|False
67|Veros|VRS|$2,358,650|$0.049908|47,259,822|$22,922|0.20%|-1.13%|-9.33%|True|False
68|SIBCoin|SIB|$2,182,761|$0.159302|13,702,027|$8,185|-0.51%|-9.19%|3.38%|False|False
69|MonaCoin|MONA|$2,165,462|$0.046580|46,488,800|$2,267|-2.38%|-1.90%|55.40%|False|False
70|CloakCoin|CLOAK|$2,079,999|$0.425879|4,884,011|$4,047|-4.06%|-58.98%|182.86%|True|False
71|GridCoin|GRC|$2,013,325|$0.005195|387,527,621|$2,349|-0.50%|-0.95%|-16.17%|False|False
72|Boolberry|XBB|$1,881,797|$0.205297|9,166,213|$12,931|0.21%|-0.82%|-14.73%|False|False
73|Aeon|AEON|$1,876,086|$0.137066|13,687,470|$771|-0.28%|1.51%|-7.17%|False|False
74|Clams|CLAM|$1,807,059|$0.838221|2,155,825|$17,488|0.35%|3.55%|-7.84%|True|False
75|vSlice|VSL|$1,789,911|$0.053605|33,390,496|$140|0.90%|-4.14%|-2.19%|True|False
76|DigiByte|DGB|$1,787,394|$0.000220|8,107,031,908|$6,535|-0.24%|-5.13%|-8.79%|False|False
77|Omni|OMNI|$1,775,360|$3.18|558,212|$805|0.52%|0.26%|-4.74%|True|False
78|DubaiCoin|DBIC|$1,771,568|$0.298371|5,937,465|$7,950|0.80%|-1.41%|38.93%|False|False
79|Burst|BURST|$1,684,248|$0.000980|1,719,139,426|$38,337|0.21%|9.66%|-1.13%|False|False
80|Radium|RADS|$1,661,795|$0.526902|3,153,898|$3,194|-0.10%|2.05%|-1.58%|True|False
81|Novacoin|NVC|$1,565,591|$0.944925|1,656,842|$58,381|-0.13%|-2.56%|67.46%|False|False
82|Ubiq|UBQ|$1,467,153|$0.040316|36,391,682|$9,110|0.24%|-0.78%|4.86%|False|False
83|Expanse|EXP|$1,431,993|$0.219879|6,512,630|$7,955|-0.01%|1.78%|-1.68%|False|False
84|HEAT|HEAT|$1,422,698|$0.055273|25,739,622|$62|0.23%|-4.66%|1.66%|True|False
85|Lykke|LKK|$1,420,788|$0.047360|30,000,000|$6,146|0.05%|0.33%|0.49%|True|False
86|FairCoin|FAIR|$1,404,237|$0.026513|52,964,969|$1,319|-0.10%|6.74%|17.04%|True|False
87|BitBay|BAY|$1,400,614|$0.001390|1,007,349,902|$13,058|0.13%|-4.29%|-10.04%|True|False
88|Vertcoin|VTC|$1,359,649|$0.040154|33,861,247|$2,256|-0.17%|-3.45%|5.35%|False|False
89|Pascal Coin|PASC|$1,344,623|$0.193465|6,950,197|$181,069|-0.17%|-14.44%|-8.39%|False|False
90|Arcade Token|ARC|$1,334,824|$0.166825|8,001,334|$17|0.05%|67.12%|?|True|False
91|Pepe Cash|PEPECASH|$1,333,015|$0.001899|701,884,009|$3,235|-0.33%|-11.82%|-30.09%|True|False
92|Global Curren...|GCR|$1,323,349|$0.012940|102,269,284|$5,627|0.27%|-11.21%|-28.04%|True|False
93|BelaCoin|BELA|$1,310,749|$0.040913|32,037,199|$77,864|-0.01%|-7.57%|-41.83%|False|False
94|Auroracoin|AUR|$1,303,625|$0.150566|8,658,139|$2,760|0.00%|0.35%|19.61%|False|True
95|VPNCoin|VPN|$1,291,427|$0.003226|400,339,746|$14,749|0.06%|-2.44%|11.13%|True|False
96|CureCoin|CURE|$1,269,522|$0.048031|26,431,310|$3,695|-0.07%|-4.60%|0.56%|False|True
97|Adzcoin|ADZ|$1,261,869|$0.023765|53,097,401|$2,708|0.22%|-4.02%|-24.49%|False|False
98|Incent|INCNT|$1,223,203|$0.053164|23,008,312|$11,617|0.05%|-7.61%|-10.06%|True|False
99|NautilusCoin|NAUT|$1,218,502|$0.075309|16,180,000|$21,246|-0.33%|-6.17%|-5.71%|True|False
100|Steem Dollars|SBD|$1,075,350|$0.980315|1,096,944|$4,092|-0.21%|-1.03%|-1.05%|True|False
101|HiCoin|XHI|$1,049,367|$0.005531|189,729,990|$90,798|0.14%|-2.86%|57.61%|False|False
102|LBRY Credits|LBC|$992,745|$0.019203|51,697,375|$21,286|0.91%|8.56%|-6.28%|False|False
103|VeriCoin|VRC|$908,604|$0.030294|29,992,681|$3,746|0.27%|1.66%|-10.40%|False|False
104|DigitalNote|XDN|$902,689|$0.000131|6,876,483,585|$10,893|0.00%|0.22%|8.26%|False|False
105|Jinn|JINN|$875,207|$14.91|58,703|$15|0.42%|?|?|True|False
106|ReddCoin|RDD|$858,080|$0.000030|28,279,196,459|$2,157|-0.09%|28.82%|26.09%|True|False
107|EarthCoin|EAC|$837,141|$0.000090|9,346,468,332|$3,200|-0.11%|0.01%|-0.06%|False|False
108|Primecoin|XPM|$827,063|$0.045460|18,193,200|$6,095|-0.11%|-3.55%|4.11%|False|False
109|Feathercoin|FTC|$825,459|$0.005360|153,997,723|$1,495|-0.03%|-2.48%|-5.24%|False|False
110|BlockPay|BLOCKPAY|$823,766|$0.151754|5,428,300|$3,079|1.39%|-12.66%|-5.60%|True|False
111|Qora|QORA|$815,514|$0.000082|10,000,000,000|$5,063|0.87%|0.58%|-4.14%|True|False
112|Viacoin|VIA|$795,864|$0.035457|22,445,925|$1,924|0.04%|-2.88%|-2.76%|False|False
113|NeosCoin|NEOS|$788,172|$0.244362|3,225,430|$4,718|0.07%|-1.74%|-0.28%|False|False
114|Yocoin|YOC|$787,223|$0.011259|69,918,830|$20,254|-0.92%|-27.17%|-17.33%|True|False
115|Mintcoin|MINT|$787,075|$0.000033|24,170,492,979|$34|0.21%|24.02%|-4.24%|True|False
116|PutinCoin|PUTIN|$786,480|$0.008891|88,461,560|$84,955|0.70%|-11.66%|40.79%|False|False
117|Scotcoin|SCOT|$762,892|$0.000763|1,000,000,000|$60|1.45%|-22.89%|-2.47%|True|False
118|Safe Exchange...|SEC|$726,493|$0.000338|2,147,483,647|$279|0.19%|1.37%|-25.56%|True|False
119|ZClassic|ZCL|$724,609|$0.873852|829,213|$36,092|-0.56%|-24.30%|69.18%|False|False
120|Vcash|XVC|$722,877|$0.047719|15,148,637|$3,111|-0.32%|-3.66%|-4.73%|False|False
121|Bitpark Coin|BPC|$701,332|$0.009351|75,000,000|$127|-0.07%|-12.76%|49.22%|True|False
122|Hacker Gold|HKG|$688,972|$0.042764|16,110,893|$1,412|0.22%|-12.41%|-5.29%|True|False
123|Round|ROUND|$668,559|$0.000787|850,000,000|$4,997|-0.07%|0.98%|-6.98%|True|False
124|FedoraCoin|TIPS|$663,994|$0.000001|443,168,182,458|$606|-1.03%|-3.31%|8.85%|False|False
125|Centurion|CNT|$661,563|$0.017278|38,290,051|$3,381|-0.11%|-17.53%|-47.60%|False|False
126|TrumpCoin|TRUMP|$655,924|$0.100399|6,533,185|$12,134|-0.14%|-4.38%|-2.56%|False|False
127|FlorinCoin|FLO|$623,512|$0.005020|124,197,561|$2,131|0.11%|-3.80%|-26.49%|False|False
128|Energycoin|ENRG|$605,666|$0.005018|120,702,076|$781|-0.07%|-0.54%|5.55%|False|False
129|GoldCoin|GLD|$591,740|$0.014777|40,045,967|$2,078|-0.10%|-3.16%|0.83%|False|False
130|FoldingCoin|FLDC|$591,259|$0.001269|465,833,654|$4,227|0.13%|4.97%|-3.70%|True|False
131|Obits|OBITS|$586,776|$0.048413|12,120,307|$11|0.21%|0.41%|-6.48%|True|False
132|Dimecoin|DIME|$581,854|$0.000001|521,044,142,553|$95|0.09%|-88.31%|-30.11%|False|False
133|DNotes|NOTE|$564,642|$0.005092|110,895,736|$2,670|-0.44%|-0.62%|-18.78%|False|False
134|OKCash|OK|$564,579|$0.008018|70,411,792|$5,123|-0.53%|-4.64%|-6.88%|True|False
135|Shift|SHIFT|$557,321|$0.052794|10,556,516|$2,056|0.38%|-5.38%|-10.85%|False|False
136|Darcrus|DAR|$549,254|$0.040301|13,628,655|$1,559|0.77%|3.36%|-5.07%|True|False
