#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$19,117,159,629|$1179.29|16,210,701|$239,259,636|0.03%|1.79%|-5.54%|False|False
2|Ethereum|ETH|$1,987,372,404|$22.16|89,673,214|$75,648,804|0.43%|14.67%|18.57%|False|False
3|Dash|DASH|$505,812,028|$70.65|7,159,473|$60,632,849|-0.13%|33.69%|65.06%|False|False
4|Ripple|XRP|$230,103,010|$0.006171|37,290,640,853|$1,707,095|-0.16%|-1.15%|-2.34%|True|False
5|Monero|XMR|$216,983,514|$15.39|14,098,641|$7,997,784|1.26%|15.32%|10.30%|False|False
6|Litecoin|LTC|$190,513,009|$3.80|50,147,106|$2,740,518|0.03%|0.27%|-1.41%|False|False
7|Ethereum Classic|ETC|$124,565,021|$1.39|89,640,561|$2,116,629|0.19%|5.32%|-1.16%|False|False
8|NEM|XEM|$90,706,502|$0.010079|8,999,999,999|$547,027|0.21%|6.59%|5.76%|True|False
9|MaidSafeCoin|MAID|$72,627,255|$0.160484|452,552,412|$799,314|0.25%|6.18%|-4.29%|True|False
10|Augur|REP|$67,376,416|$6.13|11,000,000|$484,418|0.82%|3.46%|11.48%|True|False
11|Tether|USDT|$34,951,416|$1.00|34,950,378|$14,227,259|0.00%|0.00%|0.00%|True|False
12|Zcash|ZEC|$32,953,280|$38.97|845,550|$1,731,996|-0.25%|6.21%|-2.27%|False|False
13|Iconomi|ICN|$30,540,734|$0.351043|87,000,000|$220,578|-0.77%|10.05%|9.75%|True|False
14|Factom|FCT|$27,317,695|$3.12|8,753,219|$896,275|0.40%|9.38%|1.65%|True|False
15|Waves|WAVES|$24,871,732|$0.248717|100,000,000|$208,160|1.48%|20.95%|15.85%|True|False
16|Dogecoin|DOGE|$23,206,972|$0.000214|108,495,170,869|$191,699|0.20%|3.42%|3.82%|False|False
17|Arcade Token|ARC|$22,543,499|$2.82|8,001,334|$179|-8.13%|1138.54%|1588.87%|True|False
18|Golem|GNT|$20,213,889|$0.024651|820,000,000|$607,564|0.33%|16.19%|4.18%|True|False
19|DigixDAO|DGD|$19,002,893|$9.50|2,000,000|$31,662|-0.22%|-2.23%|-10.31%|True|False
20|Steem|STEEM|$17,718,698|$0.073340|241,595,642|$120,704|0.10%|-0.11%|-19.79%|False|False
21|Ardor|ARDR|$15,827,637|$0.015843|998,999,495|$81,821|0.02%|6.19%|-4.13%|True|False
22|Decred|DCR|$13,880,992|$3.47|4,002,150|$283,828|0.67%|7.06%|64.72%|False|False
23|GameCredits|GAME|$13,703,908|$0.223779|61,238,488|$128,516|0.03%|1.55%|1.96%|False|False
24|ShadowCash|SDC|$13,455,142|$2.03|6,638,635|$169,195|0.21%|5.30%|30.26%|True|False
25|Stellar Lumens|XLM|$12,737,817|$0.001823|6,987,295,521|$455,492|0.23%|2.33%|3.14%|True|False
26|Lisk|LSK|$11,650,160|$0.111760|104,242,934|$105,234|0.02%|-2.42%|-8.03%|True|False
27|BitConnect|BCC|$10,750,916|$1.91|5,635,668|$282,653|0.15%|1.93%|121.17%|False|False
28|Bitcrystals|BCY|$9,551,501|$0.230982|41,351,784|$15,572|0.39%|7.37%|22.81%|True|False
