#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 2,157,361,908|$ 181.17|11,907,682|Low Vol|0.24 %|-0.85 %|5.39 %|False|False
2|Ripple|XRP|$ 51,166,738|$ 0.006545|7,817,889,792|Low Vol|0.71 %|1.38 %|-8.35 %|True|False
3|Litecoin|LTC|$ 49,875,970|$ 2.22|22,454,163|Low Vol|0.08 %|-0.12 %|15.97 %|False|False
4|Peercoin|PPC|$ 7,156,363|$ 0.347094|20,617,934|Low Vol|1.36 %|6.35 %|11.75 %|False|False
5|Namecoin|NMC|$ 3,117,286|$ 0.438761|7,104,750|Low Vol|0.23 %|0.90 %|-5.41 %|False|False
6|Novacoin|NVC|$ 1,894,549|$ 4.11|461,055|Low Vol|0.23 %|3.89 %|-8.18 %|False|False
7|Primecoin|XPM|$ 1,826,334|$ 0.668072|2,733,740|Low Vol|-0.25 %|-8.48 %|-8.72 %|False|False
8|Feathercoin|FTC|$ 1,619,641|$ 0.078376|20,665,004|Low Vol|-0.05 %|1.50 %|9.06 %|False|False
9|Terracoin|TRC|$ 425,824|$ 0.104155|4,088,377|Low Vol|0.82 %|-0.52 %|-4.58 %|False|False
10|WorldCoin|WDC|$ 390,676|$ 0.014129|27,650,529|Low Vol|-0.09 %|1.03 %|-22.80 %|False|False
11|Devcoin|DVC|$ 282,345|$ 0.000051|5,565,776,345|Low Vol|0.24 %|-0.85 %|1.42 %|False|False
12|Megacoin|MEC|$ 237,835|$ 0.011804|20,149,518|Low Vol|0.20 %|-6.78 %|22.48 %|False|False
13|Crypto Bullion|CBX|$ 224,420|$ 0.257178|872,623|Low Vol|0.27 %|-1.84 %|-37.96 %|False|False
14|Mincoin|MNC|$ 183,365|$ 0.134584|1,362,460|Low Vol|-0.40 %|-4.07 %|-34.21 %|False|False
15|Ixcoin|IXC|$ 176,197|$ 0.010855|16,232,129|Low Vol|0.09 %|-4.20 %|-30.53 %|True|False
16|Freicoin|FRC|$ 169,397|$ 0.005609|30,200,770|Low Vol|0.51 %|12.74 %|-16.16 %|False|False
17|Digitalcoin|DGC|$ 135,541|$ 0.013561|9,995,057|Low Vol|-0.03 %|-4.89 %|19.12 %|False|False
18|Anoncoin|ANC|$ 122,835|$ 0.258441|475,292|Low Vol|0.96 %|4.34 %|?|False|False
19|Infinitecoin|IFC|$ 105,865|$ 0.000001|84,933,218,109|Low Vol|0.17 %|0.02 %|?|False|False
20|GoldCoin|GLD|$ 84,690|$ 0.003053|27,736,202|Low Vol|0.10 %|-8.82 %|-34.16 %|False|False
21|BBQCoin|BQC|$ 45,684|$ 0.001752|26,080,611|Low Vol|-0.35 %|8.12 %|12.78 %|False|False
22|Zetacoin|ZET|$ 31,165|$ 0.000207|150,525,813|Low Vol|0.05 %|-0.08 %|-41.81 %|False|False
23|Quark|QRK|$ 25,872|$ 0.000108|239,257,432|Low Vol|-0.98 %|1.75 %|-34.78 %|False|False
24|Franko|FRK|$ 24,964|$ 0.404453|61,723|Low Vol|0.24 %|-1.73 %|6.44 %|False|False
25|Yacoin|YAC|$ 20,340|$ 0.002248|9,048,635|Low Vol|0.24 %|-10.00 %|-34.93 %|False|False
26|Luckycoin|LKY|$ 17,992|$ 0.002609|6,896,347|Low Vol|0.29 %|0.14 %|?|False|False
27|BitBar|BTB|$ 6,194|$ 0.905969|6,837|Low Vol|0.21 %|-9.63 %|-41.72 %|False|False
28|Bytecoin|BTE|$ 3,121|$ 0.002629|1,187,099|Low Vol|0.24 %|-47.32 %|-36.64 %|False|False
29|Junkcoin|JKC|$ 2,581|$ 0.000321|8,030,250|Low Vol|0.03 %|-11.14 %|?|False|False
30|GameCoin|GME|$ 2,383|$ 0.000029|83,272,127|Low Vol|-0.14 %|11.28 %|17.16 %|False|False
31|CraftCoin|CRC|$ 1,368|$ 0.008153|167,817|Low Vol|0.24 %|-18.65 %|11.73 %|False|False
32|Emerald Crypto|EMD|$ 770|$ 0.000661|1,166,425|Low Vol|-1.10 %|5.30 %|-12.29 %|False|False
