#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 5,322,439,016|$ 357.30|14,896,127|$ 26,893,344|0.08 %|0.46 %|9.58 %|False|False
2|Litecoin|LTC|$ 152,664,379|$ 3.52|43,364,337|$ 1,267,416|0.10 %|-0.67 %|11.72 %|False|False
3|Ripple|XRP|$ 142,402,155|$ 0.004246|33,537,439,933|$ 113,945|0.03 %|0.18 %|-0.22 %|True|False
4|Ethereum|ETH|$ 67,514,758|$ 0.899279|75,076,563|$ 352,969|-0.36 %|1.60 %|-7.55 %|False|False
5|Dogecoin|DOGE|$ 13,206,716|$ 0.000129|102,008,301,798|$ 77,094|-0.06 %|-0.33 %|-1.46 %|False|False
6|Dash|DASH|$ 12,727,562|$ 2.11|6,022,718|$ 24,701|0.20 %|0.43 %|-4.33 %|False|False
7|Peercoin|PPC|$ 10,146,591|$ 0.444985|22,802,101|$ 121,611|0.99 %|7.28 %|17.19 %|False|False
8|Stellar|XLM|$ 8,720,352|$ 0.001803|4,837,356,606|$ 4,498|0.20 %|0.75 %|-6.71 %|True|False
9|BitShares|BTS|$ 8,251,715|$ 0.003256|2,534,073,078|$ 58,515|0.04 %|1.73 %|-2.18 %|True|False
10|Nxt|NXT|$ 6,133,010|$ 0.006133|999,997,096|$ 10,790|0.08 %|-0.34 %|2.13 %|True|False
11|Namecoin|NMC|$ 6,071,004|$ 0.466754|13,006,858|$ 21,073|0.28 %|1.34 %|20.85 %|False|False
12|MaidSafeCoin|MAID|$ 5,953,896|$ 0.013156|452,552,412|$ 4,419|0.07 %|6.88 %|5.53 %|True|False
13|NuShares|NSR|$ 4,809,983|$ 0.005834|824,499,550|$ 1,448|0.11 %|0.74 %|24.95 %|True|False
14|GridCoin|GRC|$ 4,637,142|$ 0.012520|370,380,460|$ 10,313|-0.09 %|2.07 %|17.32 %|False|False
15|Bytecoin|BCN|$ 4,499,356|$ 0.000025|177,686,422,948|$ 9,459|-0.01 %|0.32 %|1.36 %|False|False
16|Monero|XMR|$ 3,995,857|$ 0.391878|10,196,692|$ 12,501|0.26 %|1.10 %|0.86 %|False|False
17|Rubycoin|RBY|$ 3,638,854|$ 0.162180|22,437,188|$ 2,297|-0.18 %|-0.79 %|27.24 %|True|False
18|Counterparty|XCP|$ 2,174,669|$ 0.825613|2,634,004|$ 476|0.88 %|5.13 %|4.34 %|True|False
19|YbCoin|YBC|$ 1,978,136|$ 0.658105|3,005,806|$ 23,423|-0.13 %|-0.62 %|-2.61 %|True|False
