#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
55|Counterparty|XCP|$9,885,974|$3.77|2,619,457|$65,374|0.11%|-4.53%|-5.55%|True|False
56|Agoras Tokens|AGRS|$9,659,492|$0.229988|42,000,000|$4,992|-0.95%|1.43%|48.15%|True|False
57|PoSW Coin|POSW|$9,241,844|$0.225411|41,000,000|$714,719|-1.03%|16.46%|539.51%|True|False
58|DigiByte|DGB|$9,166,708|$0.001131|8,107,031,908|$876,896|-0.07%|-6.09%|51.76%|False|False
59|Ubiq|UBQ|$9,098,407|$0.247373|36,780,074|$89,463|-0.50%|-7.64%|18.09%|False|False
60|AntShares|ANS|$8,755,166|$0.175103|50,000,000|$242,084|-0.48%|-2.47%|-8.64%|True|False
61|BlackCoin|BLK|$8,529,388|$0.112095|76,090,884|$164,682|-0.11%|-0.31%|35.53%|True|False
62|PotCoin|POT|$8,507,532|$0.039284|216,563,918|$348,368|-0.06%|-8.64%|-31.21%|False|False
63|Synereo|AMP|$8,354,566|$0.101567|82,256,324|$112,167|-0.32%|-3.70%|3.54%|True|False
64|Edgeless|EDG|$7,931,417|$0.106998|74,127,032|$130,151|-0.17%|-3.85%|-1.40%|True|False
65|NAV Coin|NAV|$7,849,150|$0.128828|60,927,387|$209,775|-0.22%|-2.72%|29.22%|True|False
66|Chronobank|TIME|$7,326,638|$10.32|710,113|$275,222|0.36%|0.61%|20.20%|True|False
67|Nexium|NXC|$7,045,323|$0.105910|66,521,586|$72,782|-0.17%|-4.17%|-2.91%|True|False
68|Skycoin|SKY|$6,818,798|$1.29|5,305,299|$3,578|-1.65%|-3.44%|?|True|False
69|I/O Coin|IOC|$6,655,703|$0.407650|16,327,001|$66,871|0.07%|7.42%|-33.34%|True|False
70|Arcade Token|ARC|$6,635,665|$1.82|3,650,741|$4,139|-0.04%|106.18%|?|True|False
71|Swarm City|SWT|$6,614,762|$1.13|5,871,535|$176,461|-1.64%|-2.83%|156.82%|True|False
72|vSlice|VSL|$6,296,777|$0.188580|33,390,496|$38,185|-1.00%|1.80%|37.13%|True|False
73|MonaCoin|MONA|$6,220,885|$0.127740|48,699,740|$28,236|-0.20%|-3.48%|-3.58%|False|False
74|ION|ION|$6,207,976|$0.487197|12,742,230|$8,069|0.06%|-9.07%|34.92%|True|False
75|YbCoin|YBC|$5,946,222|$1.97|3,018,643|$145,456|0.10%|1.14%|11.29%|True|False
76|Blocknet|BLOCK|$5,833,353|$1.49|3,910,516|$63,594|0.34%|-15.31%|86.75%|True|False
77|WeTrust|TRST|$5,703,406|$0.069554|82,000,000|$121,503|-0.64%|-8.38%|?|True|False
78|Expanse|EXP|$5,464,043|$0.790346|6,913,484|$366,888|-0.94%|10.91%|-1.93%|False|False
79|Radium|RADS|$5,338,638|$1.67|3,204,832|$73,480|-0.30%|-0.60%|9.37%|True|False
80|Rubycoin|RBY|$5,170,886|$0.213229|24,250,442|$43,517|-0.08%|10.46%|-38.50%|True|False
81|Incent|INCNT|$5,116,137|$0.222360|23,008,312|$134,077|-0.58%|8.89%|92.24%|True|False
82|ZClassic|ZCL|$5,079,245|$4.25|1,194,196|$81,352|-0.01%|-1.02%|1.34%|False|False
83|ShadowCash|SDC|$5,047,798|$0.758871|6,651,723|$349,244|3.27%|117.54%|-39.65%|True|False
84|GridCoin|GRC|$5,034,605|$0.012929|389,416,882|$14,400|0.05%|2.06%|-13.45%|False|False
85|MonetaryUnit|MUE|$4,672,180|$0.039522|118,217,442|$47,518|0.85%|-6.94%|38.91%|False|False
86|LBRY Credits|LBC|$4,579,878|$0.072950|62,780,816|$175,391|-0.13%|-1.50%|-11.29%|False|False
87|Viacoin|VIA|$4,438,981|$0.196799|22,555,956|$93,370|0.40%|-1.72%|14.84%|False|False
88|Bankcoin|B@|$4,355,323|$1.02|4,265,080|$9,586|0.32%|3.45%|68.75%|True|False
