#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$41,010,189,520|$2505.13|16,370,473|$1,553,182,995|-0.05%|1.26%|15.27%|False|False
2|Ethereum|ETH|$21,436,080,026|$232.52|92,190,088|$521,420,163|0.45%|4.15%|35.54%|False|False
3|Ripple|XRP|$11,224,925,790|$0.290638|38,621,693,933|$158,027,233|0.69%|-3.68%|25.92%|True|False
4|NEM|XEM|$1,957,920,864|$0.217547|8,999,999,999|$13,328,050|0.11%|-4.08%|1.54%|True|False
5|Ethereum Classic|ETC|$1,566,990,911|$16.99|92,250,643|$116,400,464|0.41%|0.02%|0.19%|False|False
6|Litecoin|LTC|$1,399,124,216|$27.22|51,405,101|$230,755,411|-0.02%|-1.86%|7.24%|False|False
7|Dash|DASH|$1,043,688,909|$142.26|7,336,367|$34,577,132|-0.16%|-2.64%|28.73%|False|False
8|Stratis|STRAT|$945,662,114|$9.61|98,410,788|$76,615,417|0.01%|-2.00%|237.04%|True|False
9|Monero|XMR|$620,954,100|$42.62|14,571,120|$10,113,671|0.03%|-2.82%|15.61%|False|False
10|Waves|WAVES|$502,385,737|$5.02|100,000,000|$9,294,929|0.00%|-2.45%|101.50%|True|False
11|Bytecoin|BCN|$478,255,688|$0.002614|182,975,818,021|$2,162,599|0.03%|-12.03%|-0.76%|False|False
12|DigiByte|DGB|$418,081,754|$0.051570|8,107,031,908|$258,051,408|0.01%|43.02%|276.53%|False|False
13|Siacoin|SC|$414,975,095|$0.015627|26,554,351,120|$149,425,094|-0.06%|51.06%|112.42%|False|False
14|Golem|GNT|$383,463,056|$0.464876|824,872,000|$13,875,120|0.11%|-3.62%|6.38%|True|False
15|Stellar Lumens|XLM|$374,305,491|$0.038728|9,664,920,579|$14,597,190|0.15%|-3.27%|3.89%|True|False
16|Dogecoin|DOGE|$355,046,266|$0.003238|109,656,566,562|$55,223,228|-0.12%|10.78%|19.03%|False|False
17|Zcash|ZEC|$340,169,730|$234.94|1,447,893|$18,971,079|0.21%|-1.89%|14.94%|False|False
18|Steem|STEEM|$293,566,854|$1.25|234,339,937|$8,182,418|-0.31%|0.07%|28.15%|False|False
19|Augur|REP|$291,679,182|$26.52|11,000,000|$4,570,590|0.23%|5.60%|17.05%|True|False
