#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 4,817,482,844|$ 360.22|13,373,730|$ 11,114,638|-0.13 %|-0.51 %|10.01 %|False|False
2|Ripple|XRP|$ 137,936,417|$ 0.004758|28,989,252,282|$ 265,680|0.00 %|-2.04 %|-2.23 %|True|False
3|Litecoin|LTC|$ 122,725,873|$ 3.74|32,829,958|$ 2,692,818|-0.14 %|-0.65 %|-2.99 %|False|False
4|BitShares|BTS|$ 54,457,782|$ 0.027230|1,999,883,512|$ 292,088|-0.31 %|3.71 %|-8.71 %|True|False
5|Dogecoin|DOGE|$ 26,398,999|$ 0.000281|94,089,005,791|$ 397,609|0.00 %|2.68 %|-5.22 %|False|False
6|Nxt|NXT|$ 23,720,351|$ 0.023720|999,997,096|$ 56,775|-0.08 %|-4.08 %|-2.49 %|True|False
7|Peercoin|PPC|$ 22,118,792|$ 1.01|21,805,060|$ 149,265|-0.15 %|-3.06 %|26.04 %|False|False
8|Namecoin|NMC|$ 10,322,935|$ 1.03|10,030,469|$ 23,977|-0.18 %|-2.48 %|17.31 %|False|False
9|Dash|DASH|$ 10,042,911|$ 2.12|4,737,442|$ 113,152|-0.41 %|-5.27 %|-5.39 %|False|False
10|Counterparty|XCP|$ 9,527,566|$ 3.60|2,647,515|$ 46,060|-0.28 %|11.59 %|102.24 %|True|False
11|MaidSafeCoin|MAID|$ 8,722,542|$ 0.019274|452,552,412|$ 3,500|-0.26 %|2.15 %|8.65 %|True|False
12|BitShares PTS|PTS|$ 4,977,295|$ 2.83|1,759,877|$ 37,715|0.00 %|-1.29 %|-20.26 %|True|False
13|Monero|XMR|$ 4,222,420|$ 1.06|3,977,468|$ 75,998|-0.30 %|-5.47 %|12.63 %|False|False
14|SuperNET|UNITY|$ 3,527,095|$ 4.32|816,061|$ 6,262|0.21 %|-4.56 %|1.10 %|True|False
15|BitcoinDark|BTCD|$ 3,338,713|$ 2.81|1,187,375|$ 14,219|-0.13 %|-3.43 %|-21.40 %|False|False
16|BlackCoin|BLK|$ 3,130,577|$ 0.041914|74,690,358|$ 22,188|-0.05 %|-0.63 %|-10.25 %|True|False
17|Stellar|STR|$ 3,074,271|$ 0.002232|1,377,589,641|$ 41,637|-0.48 %|-5.18 %|-5.77 %|True|False
18|NXTventure|NXTV|$ 2,656,687|$ 2.66|1,000,000|$ 612|-0.08 %|7.25 %|-7.45 %|True|False
19|XCurrency|XC|$ 2,481,324|$ 0.447243|5,548,042|$ 2,949|-0.03 %|0.49 %|4.84 %|True|False
20|Bytecoin|BCN|$ 2,345,357|$ 0.000014|163,508,944,154|$ 1,672|-0.10 %|-0.77 %|5.66 %|False|False
21|NuBits|NBT|$ 2,221,001|$ 0.991317|2,240,455|$ 68,067|-0.14 %|-0.73 %|-1.34 %|True|False
22|BanxShares|BANX|$ 2,032,918|$ 0.785856|2,586,882|$ 2,168|0.31 %|-5.73 %|19.65 %|True|False
23|Mastercoin (...|MSC|$ 1,993,343|$ 3.54|563,162|$ 472|-0.09 %|2.23 %|-2.11 %|True|False
24|Quark|QRK|$ 1,671,550|$ 0.006732|248,289,397|$ 7,406|0.05 %|0.15 %|-3.65 %|False|False
25|Anoncoin|ANC|$ 1,659,836|$ 1.27|1,307,903|$ 26,773|-0.34 %|9.05 %|99.22 %|False|False
26|Feathercoin|FTC|$ 1,500,642|$ 0.026523|56,578,530|$ 4,893|-0.41 %|1.09 %|20.99 %|False|False
27|Primecoin|XPM|$ 1,437,766|$ 0.191808|7,495,849|$ 7,627|-0.11 %|-1.05 %|14.82 %|False|False
28|Pandacoin|PND|$ 1,380,221|$ 0.000043|32,251,433,739|$ 2,734|-0.50 %|-4.30 %|53.20 %|False|False
29|ReddCoin|RDD|$ 1,378,244|$ 0.000050|27,355,037,508|$ 3,573|-0.72 %|-5.36 %|-3.49 %|True|False
30|Zetacoin|ZET|$ 1,346,307|$ 0.008362|161,003,584|$ 2,883|0.37 %|6.12 %|28.93 %|False|False
31|Nxttycoin|NXTTY|$ 1,339,750|$ 0.002436|550,000,000|$ 2,572|-0.84 %|-11.76 %|3.41 %|True|False
32|InstantDEX|DEX|$ 1,233,462|$ 1.23|1,000,000|$ 14|-0.08 %|-7.00 %|-14.06 %|True|False
33|sharkfund0|SF0|$ 1,016,335|$ 759.05|1,339|$ 20|0.02 %|-4.08 %|7.60 %|True|False
34|Neutrino|NTR|$ 977,033|$ 0.004640|210,545,045|$ 283|-0.13 %|0.03 %|-1.88 %|False|False
35|YbCoin|YBC|$ 970,031|$ 0.457158|2,121,872|$ 35,920|-0.28 %|-4.11 %|1.29 %|True|False
36|Viacoin|VIA|$ 957,313|$ 0.083164|11,511,172|$ 5,970|-0.08 %|-2.02 %|3.88 %|False|False
37|VeriCoin|VRC|$ 943,811|$ 0.035115|26,878,013|$ 4,524|0.08 %|-4.52 %|-16.30 %|False|False
38|Infinitecoin|IFC|$ 917,193|$ 0.000010|90,594,407,861|$ 12,580|0.23 %|35.06 %|41.58 %|False|False
39|jl777hodl|JLH|$ 884,048|$ 0.088405|10,000,000|$ 489|-0.06 %|-1.48 %|-9.67 %|True|False
40|Tradebots|NXTcoinsco|$ 868,967|$ 0.877656|990,100|$ 68|0.60 %|11.30 %|-1.22 %|True|False
41|CannabisCoin|CANN|$ 855,583|$ 0.009426|90,765,880|$ 30,448|0.59 %|27.81 %|112.64 %|False|False
42|MonaCoin|MONA|$ 822,493|$ 0.063725|12,906,989|$ 4,177|-0.02 %|-3.59 %|19.55 %|False|False
43|Novacoin|NVC|$ 782,776|$ 0.924402|846,792|$ 3,742|-0.03 %|-1.03 %|11.60 %|False|False
44|FreeMarket|MRKT|$ 782,402|$ 1.09|720,000|$ 1,410|-0.18 %|17.08 %|3.42 %|True|False
45|MaxCoin|MAX|$ 765,550|$ 0.020938|36,563,181|$ 3,395|-0.99 %|-3.47 %|29.93 %|False|False
46|WorldCoin|WDC|$ 752,881|$ 0.011433|65,852,901|$ 848|-0.10 %|0.63 %|7.81 %|False|False
47|InkWayCoin|LKNX|$ 748,883|$ 0.074888|10,000,000|$ 1,972|-4.44 %|-31.90 %|-49.96 %|True|False
48|Ixcoin|IXC|$ 748,466|$ 0.035658|20,990,365|$ 3,189|-0.76 %|7.05 %|24.28 %|True|False
49|Megacoin|MEC|$ 693,488|$ 0.027064|25,624,155|$ 1,256|-0.20 %|0.53 %|0.37 %|False|False
50|UltraCoin|UTC|$ 681,190|$ 0.032424|21,008,796|$ 12,536|0.31 %|17.22 %|68.16 %|False|False
51|Unobtanium|UNO|$ 646,231|$ 3.37|191,783|$ 6,980|-0.42 %|-8.64 %|30.54 %|False|False
52|FoldingCoin|FLDC|$ 640,166|$ 0.000640|1,000,000,000|$ 215|1.08 %|-5.10 %|?|True|False
53|Ethercoin|ETC|$ 633,969|$ 0.633969|1,000,000|$ 16|-0.13 %|0.49 %|23.71 %|True|False
54|NEMstake|NEM|$ 613,743|$ 791.93|775|$ 3,154|-0.65 %|-9.75 %|-11.35 %|True|False
55|Coinomat|CNMT|$ 610,871|$ 0.203624|3,000,000|$ 338|0.02 %|33.05 %|33.31 %|True|False
56|Qora|QORA|$ 590,901|$ 0.000059|10,000,000,000|$ 679|-0.19 %|9.39 %|56.71 %|True|False
57|ATOMIC|ATOMIC|$ 577,331|$ 0.946445|610,000|$ 35|0.27 %|18.19 %|0.35 %|True|False
58|Swarm|SWARM|$ 554,175|$ 0.017285|32,060,494|$ 119|2.74 %|21.51 %|-21.17 %|True|False
59|MozzShare|MLS|$ 545,819|$ 0.009734|56,072,160|$ 1,258|0.54 %|6.28 %|24.49 %|False|False
60|Vertcoin|VTC|$ 539,172|$ 0.062476|8,630,112|$ 10,149|-0.05 %|12.28 %|39.74 %|False|False
61|Jinn|JINN|$ 499,000|$ 4.99|100,000|$ 2,585|-1.31 %|1.80 %|-35.26 %|True|False
62|Storjcoin X|SJCX|$ 488,118|$ 0.011771|41,469,270|$ 1,157|0.09 %|5.19 %|13.44 %|True|False
63|DigitalNote|XDN|$ 485,216|$ 0.000075|6,476,867,444|$ 11,700|0.57 %|-12.61 %|-35.41 %|False|False
64|BilShares|BILS|$ 484,952|$ 0.000485|1,000,000,000|$ 3,008|-0.19 %|2.03 %|1.51 %|True|False
65|FIMKrypto|FIMK|$ 474,804|$ 0.001228|386,765,224|$ 59,642|-0.13 %|-0.51 %|-20.29 %|True|False
66|ARCHcoin|ARCH|$ 473,135|$ 0.029231|16,186,149|$ 18,265|-0.06 %|-4.29 %|?|True|False
67|DNotes|NOTE|$ 471,438|$ 0.005124|91,997,829|$ 1,522|-0.27 %|-0.59 %|21.98 %|False|False
68|Startcoin|START|$ 462,824|$ 0.122512|3,777,779|$ 9,596|-0.86 %|0.83 %|11.55 %|False|True
69|Stealthcoin|XST|$ 454,453|$ 0.021510|21,127,545|$ 10,360|0.48 %|1.17 %|-34.95 %|False|False
70|Librexcoin|LXC|$ 429,130|$ 0.044021|9,748,354|$ 3,703|0.40 %|-10.42 %|4.42 %|False|False
71|Crypti|XCR|$ 414,336|$ 0.004143|100,000,000|$ 3,379|-0.68 %|14.24 %|16.01 %|True|False
72|LitecoinDark|LTCD|$ 410,168|$ 0.005326|77,010,919|$ 14,032|-0.29 %|11.45 %|16.21 %|False|False
73|PotCoin|POT|$ 406,290|$ 0.002781|146,113,219|$ 12,189|-1.67 %|15.14 %|24.21 %|False|False
74|BitSwift|SWIFT|$ 405,590|$ 0.101385|4,000,503|$ 15,869|-1.04 %|1.09 %|?|True|False
75|SysCoin|SYS|$ 395,561|$ 0.001059|373,634,483|$ 1,234|-0.29 %|-1.28 %|-4.08 %|False|False
76|Bitmark|BTM|$ 394,537|$ 0.438654|899,426|$ 4,128|-0.47 %|6.55 %|-11.93 %|False|False
77|ShadowCash|SDC|$ 394,398|$ 0.061243|6,439,909|$ 907|-0.07 %|1.69 %|-21.73 %|True|False
78|bitUSD|BITUSD|$ 371,355|$ 1.01|368,438|$ 15,952|0.02 %|1.27 %|0.00 %|True|False
79|Uro|URO|$ 367,483|$ 0.578991|634,696|$ 20,747|-0.18 %|14.87 %|93.24 %|False|False
80|Dogeparty|XDP|$ 365,285|$ 0.136283|2,680,332|$ 1,088|0.07 %|17.86 %|62.90 %|True|False
81|Gridcoin Cla...|GRCX|$ 344,073|$ 0.010897|31,575,238|$ 446|-0.74 %|5.81 %|12.92 %|False|False
82|HyperStake|HYP|$ 321,135|$ 0.012194|26,335,232|$ 1,484|0.10 %|5.69 %|37.82 %|True|False
83|Mintcoin|MINT|$ 303,122|$ 0.000015|20,059,007,905|$ 33|-0.26 %|9.40 %|21.16 %|True|False
84|GoldCoin|GLD|$ 296,651|$ 0.009063|32,730,880|$ 638|-0.15 %|-0.90 %|53.68 %|False|False
85|Devcoin|DVC|$ 291,123|$ 0.000037|7,870,470,347|$ 44|-0.53 %|-0.48 %|1.50 %|False|False
86|Sync|SYNC|$ 281,839|$ 242.30|1,163|$ 759|-1.19 %|-1.60 %|-0.32 %|True|False
87|Gulden|NLG|$ 277,757|$ 0.002152|129,085,000|$ 2,238|-1.09 %|-4.26 %|4.68 %|False|True
