#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
55|SysCoin|SYS|$73,233,453|$0.139145|526,310,364|$2,959,006|-1.71%|6.71%|105.71%|False|False
56|Lykke|LKK|$64,030,613|$0.255622|250,489,363|$102,138|-0.18%|0.33%|1.93%|True|False
57|Ark|ARK|$63,790,116|$0.661691|96,404,690|$373,099|-0.58%|17.39%|86.26%|True|False
58|Civic|CVC|$63,443,738|$0.186979|339,309,335|$1,847,185|-0.53%|14.32%|?|True|False
59|CoEval|COE|$58,058,738|$1357.46|42,770|$498,081|-1.08%|11.70%|?|True|False
60|DECENT|DCT|$56,371,055|$1.10|51,306,089|$1,061,974|-0.68%|2.18%|38.08%|True|False
61|Ubiq|UBQ|$55,923,406|$1.49|37,504,438|$856,979|-1.15%|26.88%|102.62%|False|False
62|Peercoin|PPC|$48,707,319|$2.01|24,225,166|$987,666|-0.72%|1.53%|27.46%|False|False
63|FunFair|FUN|$45,848,044|$0.011941|3,839,463,249|$617,574|-0.31%|5.33%|17.47%|True|False
64|LEOcoin|LEO|$45,764,220|$0.524583|87,239,221|$254,758|-0.14%|0.27%|9.11%|False|True
65|Verge|XVG|$45,569,317|$0.003398|13,409,472,280|$1,356,388|-0.63%|8.83%|63.54%|False|False
66|Particl|PART|$45,533,340|$5.96|7,644,359|$532,417|-0.32%|10.76%|?|True|False
67|Emercoin|EMC|$45,051,951|$1.11|40,418,985|$302,781|-1.27%|-2.34%|27.79%|False|False
68|Numeraire|NMR|$44,152,612|$36.10|1,223,079|$881,182|-0.62%|-3.38%|89.08%|True|False
69|Edgeless|EDG|$44,072,174|$0.537162|82,046,288|$397,621|-0.79%|1.77%|47.85%|True|False
70|Nexus|NXS|$43,866,485|$0.857735|51,142,250|$41,628|-0.50%|0.72%|27.81%|False|False
71|Asch|XAS|$43,386,169|$0.578482|75,000,000|$4,333,934|-1.38%|6.14%|87.22%|False|False
72|Wings|WINGS|$41,475,845|$0.462341|89,708,333|$344,469|-0.96%|9.06%|89.54%|True|False
73|Round|ROUND|$41,431,386|$0.048743|850,000,000|$228,418|-0.49%|4.07%|33.29%|True|False
74|ReddCoin|RDD|$38,767,775|$0.001357|28,569,169,885|$500,952|-0.43%|6.15%|44.40%|True|False
