#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 13,063,515,820|$ 1,083|12,060,836|Low Vol|-0.73 %|-4.94 %|42.39 %|False|False
2|Litecoin|LTC|$ 934,938,972|$ 39.77|23,505,833|Low Vol|-0.37 %|2.39 %|292.23 %|False|False
3|Ripple|XRP|$ 367,702,839|$ 0.047034|7,817,889,792|Low Vol|2.35 %|46.12 %|390.36 %|True|False
4|Peercoin|PPC|$ 149,686,927|$ 7.58|19,755,711|Low Vol|-0.77 %|-0.24 %|342.14 %|False|False
5|Namecoin|NMC|$ 73,869,346|$ 9.94|7,435,150|Low Vol|-0.41 %|-6.20 %|281.81 %|False|False
6|Megacoin|MEC|$ 44,799,026|$ 2.13|21,081,586|Low Vol|-1.28 %|4.62 %|1940.70 %|False|False
7|Feathercoin|FTC|$ 29,697,306|$ 1.20|24,696,360|Low Vol|-1.31 %|-7.03 %|402.85 %|False|False
8|WorldCoin|WDC|$ 23,950,574|$ 0.722258|33,160,694|Low Vol|0.00 %|51.94 %|744.61 %|False|False
9|Primecoin|XPM|$ 22,417,311|$ 6.76|3,314,162|Low Vol|-1.09 %|-6.19 %|355.19 %|False|False
10|Freicoin|FRC|$ 16,367,128|$ 0.484410|33,787,745|Low Vol|-0.94 %|95.05 %|1219.99 %|False|False
11|Novacoin|NVC|$ 12,392,739|$ 24.63|503,110|Low Vol|-0.48 %|-4.54 %|205.30 %|False|False
12|Zetacoin|ZET|$ 7,973,589|$ 0.050665|157,379,489|Low Vol|3.25 %|465.99 %|8167.64 %|False|False
13|Infinitecoin|IFC|$ 7,014,832|$ 0.000080|88,103,668,877|Low Vol|-0.33 %|-8.95 %|891.59 %|False|False
14|Terracoin|TRC|$ 6,264,094|$ 1.40|4,488,540|Low Vol|-2.03 %|-4.54 %|992.30 %|False|False
15|Crypto Bullion|CBX|$ 5,187,770|$ 5.70|910,034|Low Vol|-1.74 %|46.42 %|184.05 %|False|False
16|BBQCoin|BQC|$ 5,211,259|$ 0.278727|18,696,674|Low Vol|1.93 %|137.34 %|1519.70 %|False|False
17|Anoncoin|ANC|$ 4,935,213|$ 8.91|553,723|Low Vol|-1.64 %|13.40 %|561.51 %|False|False
18|Digitalcoin|DGC|$ 3,942,518|$ 0.357672|11,022,703|Low Vol|-4.42 %|137.98 %|786.96 %|False|False
19|Devcoin|DVC|$ 3,875,215|$ 0.000669|5,795,659,975|Low Vol|0.99 %|30.31 %|394.84 %|False|False
20|GoldCoin|GLD|$ 3,762,242|$ 0.131227|28,669,792|Low Vol|6.73 %|95.57 %|1336.35 %|False|False
21|Yacoin|YAC|$ 3,579,678|$ 0.311704|11,484,208|Low Vol|-1.53 %|58.74 %|2443.07 %|False|False
22|Tickets|TIX|$ 2,867,438|$ 0.000047|61,132,510,491|Low Vol|0.14 %|6.13 %|2213.44 %|False|False
23|Ixcoin|IXC|$ 2,461,284|$ 0.146275|16,826,362|Low Vol|-1.61 %|7.81 %|282.96 %|True|False
24|Copperlark|CLR|$ 2,374,530|$ 0.479111|4,956,116|Low Vol|-2.30 %|144.08 %|319.82 %|False|True
25|StableCoin|SBC|$ 2,077,455|$ 0.256446|8,100,930|Low Vol|-1.00 %|?|?|False|False
26|Fastcoin|FST|$ 2,066,864|$ 0.049473|41,777,447|Low Vol|0.41 %|269.20 %|1732.22 %|False|False
27|BitBar|BTB|$ 1,224,929|$ 151.28|8,097|Low Vol|-0.96 %|143.15 %|2092.28 %|False|False
28|Mincoin|MNC|$ 1,131,221|$ 0.798549|1,416,595|Low Vol|-0.08 %|23.76 %|236.17 %|False|False
29|TagCoin|TAG|$ 1,130,636|$ 3.34|338,681|Low Vol|-1.02 %|5.41 %|517.16 %|False|False
30|FlorinCoin|FLO|$ 1,119,692|$ 0.037213|30,088,762|Low Vol|-2.54 %|88.79 %|?|False|False
31|Luckycoin|LKY|$ 975,771|$ 0.114277|8,538,682|Low Vol|2.25 %|86.65 %|4594.36 %|False|False
32|I0Coin|I0C|$ 854,185|$ 0.042761|19,975,760|Low Vol|-5.53 %|-2.85 %|?|False|False
33|Phoenixcoin|PXC|$ 711,224|$ 0.111738|6,365,111|Low Vol|6.56 %|245.29 %|7441.94 %|False|False
34|Franko|FRK|$ 705,401|$ 9.88|71,382|Low Vol|-4.04 %|63.38 %|2828.11 %|False|False
35|Bytecoin|BTE|$ 554,543|$ 0.349071|1,588,623|Low Vol|1.67 %|97.88 %|1428.57 %|False|False
36|Junkcoin|JKC|$ 352,648|$ 0.043726|8,064,926|Low Vol|-7.96 %|711.77 %|9597.09 %|False|False
37|Argentum|ARG|$ 310,017|$ 0.793038|390,924|Low Vol|6.36 %|?|?|False|False
38|Elacoin|ELC|$ 287,030|$ 10.95|26,202|Low Vol|5.92 %|?|?|False|False
39|CraftCoin|CRC|$ 280,611|$ 1.36|206,888|Low Vol|-1.84 %|170.76 %|6211.69 %|False|False
40|Colossuscoin|COL|$ 25,462|$ 0.000008|3,124,629,760|Low Vol|0.33 %|?|?|False|False
