#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$9,886,565,692|$623.33|15,860,812|$41,850,824|-0.00%|0.03%|4.08%|False|False
2|Ethereum|ETH|$1,004,711,655|$11.98|83,858,217|$8,195,466|-0.16%|2.61%|3.06%|False|False
3|Ripple|XRP|$207,396,961|$0.005872|35,317,458,440|$319,018|0.01%|0.11%|-1.54%|True|False
4|Litecoin|LTC|$188,474,059|$3.97|47,506,253|$784,853|0.00%|-0.08%|1.23%|False|False
5|Monero|XMR|$156,803,838|$12.19|12,868,555|$7,826,252|-0.35%|-1.73%|5.81%|False|False
6|Ethereum Cla...|ETC|$116,657,974|$1.39|83,821,592|$1,673,590|-0.37%|-2.70%|2.82%|False|False
7|Steem|STEEM|$100,881,657|$0.722660|139,597,593|$163,267|0.05%|6.54%|-11.05%|False|False
8|Dash|DASH|$76,578,147|$11.38|6,731,841|$649,781|0.07%|2.06%|3.65%|False|False
9|NEM|XEM|$53,004,542|$0.005889|8,999,999,999|$71,129|0.04%|-1.38%|3.68%|True|False
10|MaidSafeCoin|MAID|$47,764,198|$0.105544|452,552,412|$483,066|-0.06%|6.40%|20.53%|True|False
11|Factom|FCT|$25,436,782|$2.91|8,753,219|$308,189|0.01%|1.07%|8.50%|True|False
12|Lisk|LSK|$25,415,554|$0.254156|100,000,000|$375,229|0.03%|-0.11%|5.71%|True|False
13|Dogecoin|DOGE|$24,380,488|$0.000230|105,980,183,823|$80,664|0.06%|0.21%|-1.92%|False|False
14|Nxt|NXT|$20,691,313|$0.020712|998,999,994|$130,870|-0.18%|0.15%|-2.18%|True|False
15|DigixDAO|DGD|$19,980,729|$9.99|2,000,000|$50,797|0.72%|-0.58%|-4.91%|True|False
16|Waves|WAVES|$16,296,664|$0.162967|100,000,000|$28,540|-0.01%|-0.76%|-0.50%|True|False
17|Emercoin|EMC|$16,275,541|$0.423281|38,450,945|$34,358|-0.09%|-0.14%|-3.18%|False|False
18|Bitcrystals|BCY|$15,024,921|$0.357841|41,987,655|$23,816|0.04%|3.49%|21.57%|True|False
19|BitShares|BTS|$13,348,589|$0.005187|2,573,637,500|$158,426|-0.03%|3.78%|-0.50%|True|False
20|Stellar|XLM|$11,421,160|$0.002020|5,653,103,727|$158,192|0.08%|-2.23%|7.42%|True|False
21|Peerplays|PEERPLAYS|$11,005,998|$11.01|1,000,000|$16,933|-0.07%|-4.61%|-16.72%|True|False
22|Synereo|AMP|$10,779,459|$0.172236|62,585,264|$177,451|-0.25%|-3.19%|8.65%|True|False
23|Bytecoin|BCN|$10,305,711|$0.000057|181,368,628,716|$2,470|-0.03%|-0.30%|1.01%|False|False
24|ShadowCash|SDC|$9,761,125|$1.48|6,575,372|$1,610,185|-0.60%|27.85%|0.78%|True|False
25|Siacoin|SC|$9,545,084|$0.000522|18,302,703,793|$67,822|-0.26%|-1.91%|17.49%|False|False
26|Counterparty|XCP|$9,385,691|$3.58|2,624,085|$52,988|0.57%|7.46%|0.57%|True|False
27|Xaurum|XAUR|$8,051,115|$0.097496|82,578,902|$124,657|-0.16%|-3.45%|0.73%|True|False
28|Storjcoin X|SJCX|$7,954,411|$0.158082|50,318,144|$79,525|0.53%|11.87%|25.76%|True|False
29|Peercoin|PPC|$7,753,110|$0.330126|23,485,297|$89,610|-0.32%|-0.12%|-4.66%|False|False
30|NautilusCoin|NAUT|$7,172,193|$0.443275|16,180,000|$72,548|0.63%|1.47%|3.22%|True|False
31|Tether|USDT|$6,951,591|$1.00|6,951,591|$370,821|0.00%|0.00%|0.00%|True|False
32|FedoraCoin|TIPS|$6,945,307|$0.000016|435,511,027,080|$12,857|1.28%|33.24%|65.22%|False|False
33|GameCredits|GAME|$6,901,784|$0.120442|57,303,625|$41,289|0.33%|-4.47%|8.88%|False|False
