#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
56|Bitcrystals|BCY|$16,452,073|$0.398415|41,293,785|$160,029|0.39%|8.77%|30.94%|True|False
57|Gulden|NLG|$15,290,484|$0.044316|345,035,477|$66,428|0.16%|13.42%|13.95%|False|True
58|DigiByte|DGB|$14,983,806|$0.001848|8,107,031,908|$7,340,697|-0.69%|16.65%|68.25%|False|False
59|BlackCoin|BLK|$14,585,105|$0.191612|76,117,989|$1,189,808|0.34%|16.84%|39.96%|True|False
60|Matchpool|GUP|$13,877,633|$0.186069|74,583,333|$268,250|-0.34%|20.81%|?|True|False
61|ZCoin|XZC|$13,863,360|$6.78|2,045,367|$1,041,730|-0.19%|0.13%|-14.05%|False|False
62|Agoras Tokens|AGRS|$13,352,193|$0.317909|42,000,000|$2,852|-0.29%|-1.27%|20.91%|True|False
63|Swarm City|SWT|$12,671,862|$2.02|6,273,462|$73,999|1.24%|0.02%|35.95%|True|False
64|PotCoin|POT|$12,635,412|$0.058306|216,710,416|$1,215,769|-0.04%|14.92%|36.18%|False|False
65|Ubiq|UBQ|$11,764,706|$0.318916|36,889,673|$146,300|0.48%|8.71%|27.80%|False|False
66|ZClassic|ZCL|$11,747,386|$9.08|1,293,234|$551,579|-0.95%|2.81%|81.64%|False|False
67|Synereo|AMP|$11,575,804|$0.140728|82,256,324|$475,276|0.86%|9.18%|16.86%|True|False
68|Rubycoin|RBY|$11,274,809|$0.463983|24,300,056|$74,369|-0.55%|4.49%|23.14%|True|False
69|Creditbit|CRB|$11,188,253|$0.886447|12,621,456|$446,191|-0.17%|-9.14%|-13.71%|False|False
70|BitBay|BAY|$10,874,889|$0.010794|1,007,472,633|$55,155|0.52%|6.10%|17.51%|True|False
71|Chronobank|TIME|$10,524,278|$14.82|710,113|$362,265|0.19%|8.12%|39.66%|True|False
72|Crown|CRW|$9,819,769|$0.725506|13,535,058|$112,854|0.23%|-10.86%|-16.48%|False|False
73|Bankcoin|B@|$9,469,036|$2.22|4,265,080|$13,676|0.44%|-6.50%|78.58%|True|False
74|Vertcoin|VTC|$9,374,184|$0.280575|33,410,627|$1,463,238|1.73%|22.58%|133.65%|False|False
75|Edgeless|EDG|$9,305,918|$0.123137|75,573,453|$191,698|-0.05%|7.36%|8.70%|True|False
76|Novacoin|NVC|$9,068,326|$5.29|1,713,161|$471,572|0.09%|4.50%|32.96%|False|False
77|I/O Coin|IOC|$8,872,259|$0.543296|16,330,428|$11,155|-0.20%|-0.58%|31.18%|True|False
78|Clams|CLAM|$8,792,051|$3.90|2,254,575|$2,232,972|0.22%|31.04%|96.50%|True|False
79|Nexium|NXC|$8,771,212|$0.131855|66,521,586|$131,097|0.70%|8.25%|11.66%|True|False
