#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
54|Blocknet|BLOCK|$123,582,244|$29.45|4,196,685|$355,204|-0.01%|-2.15%|19.63%|True|False
55|FunFair|FUN|$122,307,007|$0.031855|3,839,463,249|$582,157|-0.15%|-5.27%|22.36%|True|False
56|Gas|GAS|$117,705,507|$14.20|8,291,842|$528,667|-0.63%|-10.32%|-32.75%|True|False
57|Bancor|BNT|$117,703,171|$2.89|40,772,871|$1,396,126|0.02%|-6.09%|6.77%|True|False
58|GXShares|GXS|$116,603,585|$2.88|40,510,000|$7,956,428|-1.01%|-13.23%|-23.21%|True|False
59|BitcoinDark|BTCD|$114,408,510|$88.77|1,288,862|$1,272,838|1.73%|40.98%|47.95%|False|False
60|Nxt|NXT|$108,485,178|$0.108594|998,999,942|$6,323,898|0.04%|-5.93%|-1.37%|True|False
61|Syscoin|SYS|$101,982,107|$0.193421|527,255,433|$1,537,798|0.40%|-3.60%|37.20%|False|False
62|NAV Coin|NAV|$98,044,199|$1.59|61,717,130|$18,084,178|1.24%|6.96%|405.29%|True|False
63|Monaco|MCO|$97,278,477|$9.91|9,814,825|$10,197,892|2.53%|-8.79%|-38.96%|True|False
64|Particl|PART|$94,134,814|$12.24|7,690,796|$263,444|0.13%|-2.20%|34.83%|True|False
65|Ubiq|UBQ|$91,004,211|$2.41|37,834,504|$1,721,203|-0.16%|-3.58%|25.07%|False|False
66|Lykke|LKK|$88,731,939|$0.332319|267,008,050|$586,184|0.04%|-3.02%|-3.37%|True|False
67|Aragon|ANT|$85,841,920|$2.60|33,015,659|$462,917|0.28%|-3.21%|-8.89%|True|False
68|SingularDTV|SNGLS|$85,080,589|$0.141801|600,000,000|$726,497|-0.02%|-3.40%|0.17%|True|False
69|Bytom|BTM|$83,509,077|$0.121888|685,131,441|$10,886,605|-0.65%|-11.31%|-34.54%|True|False
70|NoLimitCoin|NLC2|$78,111,450|$0.383938|203,447,872|$228,289|-0.15%|-9.34%|20.14%|True|False
71|MobileGo|MGO|$77,776,023|$0.793399|98,028,887|$345,030|-0.94%|-1.19%|-10.43%|True|False
72|Storj|STORJ|$76,625,495|$0.794361|96,461,783|$2,163,580|0.06%|-9.84%|-10.93%|True|False
73|Verge|XVG|$75,950,881|$0.005664|13,409,472,280|$4,807,107|1.28%|7.79%|121.17%|False|False
74|Wings|WINGS|$73,752,498|$0.822137|89,708,333|$507,233|0.13%|-2.67%|28.33%|True|False
75|Cofound.it|CFI|$71,425,754|$0.219772|325,000,000|$444,172|0.33%|-7.31%|-11.09%|True|False
76|Bitquence|BQX|$68,402,369|$0.961194|71,163,927|$744,632|-0.13%|-8.67%|2.75%|True|False
77|Metaverse ETP|ETP|$67,568,531|$2.99|22,600,000|$587,736|-0.49%|-7.75%|-1.52%|False|False
78|Edgeless|EDG|$62,858,047|$0.766129|82,046,288|$981,132|-0.49%|-7.46%|4.88%|True|False
79|Walton|WTC|$60,887,666|$2.45|24,898,178|$18,450,167|2.21%|77.82%|?|True|False
80|Tierion|TNT|$60,775,361|$0.173644|350,000,010|$1,657,372|0.67%|1.21%|?|True|False
81|DECENT|DCT|$59,440,484|$1.16|51,306,089|$769,772|0.16%|-5.41%|-6.27%|True|False
82|iExec RLC|RLC|$55,226,526|$0.698444|79,070,793|$1,027,692|0.43%|2.72%|4.32%|True|False
83|Asch|XAS|$54,585,559|$0.727807|75,000,000|$2,143,059|-0.46%|-4.73%|-10.77%|False|False
84|Loopring|LRC|$51,554,349|$0.073909|697,538,027|$3,571,836|3.33%|11.33%|?|True|False
85|Elastic|XEL|$50,505,183|$0.584895|86,349,112|$4,434,388|0.26%|-5.96%|29.10%|True|False
86|FirstBlood|1ST|$49,530,275|$0.578906|85,558,371|$2,409,976|-0.10%|-6.41%|-14.10%|True|False
87|AdEx|ADX|$48,841,962|$0.917155|53,253,776|$3,590,131|0.27%|-4.59%|-30.50%|True|False
88|Pillar|PLR|$48,531,532|$0.086663|560,000,000|$77,032|0.50%|2.45%|-29.07%|True|False
89|district0x|DNT|$48,271,417|$0.080452|600,000,000|$1,208,120|-0.68%|-4.73%|-43.13%|True|False
90|Emercoin|EMC|$47,966,649|$1.18|40,632,901|$303,980|0.05%|-4.55%|-9.48%|False|False
91|Peercoin|PPC|$46,782,153|$1.92|24,304,097|$331,807|-0.05%|-3.67%|-8.07%|False|False
92|Gulden|NLG|$46,353,468|$0.131687|351,997,613|$218,288|0.03%|-6.46%|24.92%|False|False
93|LEOcoin|LEO|$45,456,590|$0.511964|88,788,576|$320,836|-0.01%|-1.73%|-1.71%|True|False
94|Melon|MLN|$45,404,549|$75.75|599,400|$344,527|0.06%|-7.41%|1.39%|True|False
95|TokenCard|TKN|$44,663,708|$1.89|23,644,056|$1,310,321|-0.77%|1.01%|24.29%|True|False
96|FirstCoin|FRST|$42,634,080|$6.02|7,079,319|$238,402|0.15%|-2.10%|3.12%|False|False
97|ICO|ICO|$41,923,049|$0.419230|100,000,000|$16,355,708|-0.70%|-26.10%|-54.12%|True|False
98|CoinDash|CDT|$40,820,999|$0.074209|550,083,414|$899,575|0.03%|-10.49%|-36.62%|True|False
99|I/O Coin|IOC|$40,756,691|$2.49|16,361,465|$204,867|0.38%|-6.14%|19.07%|True|False
100|Aidos Kuneen|ADK|$39,468,477|$4.43|8,900,500|$50,152|0.23%|-5.07%|10.26%|True|False
101|ReddCoin|RDD|$39,400,152|$0.001377|28,608,546,718|$842,829|0.13%|-4.00%|34.59%|True|False
102|ZCoin|XZC|$37,470,563|$12.87|2,910,345|$907,938|-0.57%|-4.47%|5.86%|False|False
103|Mothership|MSP|$37,302,363|$0.266445|140,000,000|$395,795|-0.70%|-1.23%|-2.83%|True|False
104|Quantum Resis...|QRL|$37,209,593|$0.715569|52,000,000|$313,102|-0.21%|-6.80%|3.84%|True|False
105|Counterparty|XCP|$36,516,127|$13.95|2,617,899|$374,569|-0.77%|-10.53%|-29.07%|True|False
106|Viacoin|VIA|$35,535,400|$1.56|22,810,092|$724,253|0.78%|-6.08%|28.75%|False|False
107|Numeraire|NMR|$35,154,275|$28.09|1,251,279|$610,930|0.03%|-9.58%|-19.86%|True|False
108|Round|ROUND|$34,354,549|$0.040417|850,000,000|$261,421|0.03%|-7.44%|-11.82%|True|False
109|Stox|STX|$34,047,499|$1.15|29,600,000|$1,053,325|0.03%|-5.51%|-47.08%|True|False
110|Vertcoin|VTC|$34,019,746|$0.869738|39,114,930|$1,121,201|-0.11%|-7.18%|-7.14%|False|False
111|TaaS|TAAS|$33,994,555|$4.17|8,146,001|$253,030|0.52%|-1.45%|-8.32%|True|False
112|Rise|RISE|$33,558,775|$0.296615|113,139,200|$4,115,048|-1.75%|-20.29%|208.97%|True|False
113|Rialto|XRL|$32,689,877|$0.424762|76,960,488|$51,905|0.29%|-9.75%|-17.34%|True|False
114|WeTrust|TRST|$32,672,704|$0.354570|92,147,500|$2,093,886|-0.12%|-7.46%|34.20%|True|False
115|vSlice|VSL|$31,686,694|$0.948973|33,390,496|$163,398|0.17%|-3.45%|-3.49%|True|False
116|FairCoin|FAIR|$31,664,431|$0.595265|53,193,831|$19,365|0.27%|0.85%|-3.40%|True|False
117|adToken|ADT|$29,846,053|$0.049743|600,000,000|$120,429|-0.18%|-11.03%|0.36%|True|False
118|Mysterium|MYST|$29,379,561|$1.51|19,429,024|$618,200|0.11%|-6.60%|2.74%|True|False
119|Namecoin|NMC|$29,215,153|$1.98|14,736,400|$89,022|0.04%|-4.67%|-8.74%|False|False
120|CloakCoin|CLOAK|$28,997,551|$5.70|5,090,439|$505,413|0.29%|-12.63%|-5.12%|True|False
121|Expanse|EXP|$28,370,127|$3.59|7,906,397|$1,247,267|0.31%|1.93%|10.03%|False|False
122|MonaCoin|MONA|$26,983,957|$0.502756|53,672,027|$167,071|-0.11%|1.63%|-3.01%|False|False
123|Lunyr|LUN|$26,701,504|$11.62|2,297,853|$920,219|0.06%|-3.79%|-6.02%|True|False
124|Patientory|PTOY|$26,676,337|$0.381091|70,000,000|$697,300|0.18%|-4.76%|5.85%|True|False
125|Etheroll|DICE|$26,277,394|$3.75|7,001,623|$51,879|0.03%|-7.03%|-11.88%|True|False
126|ION|ION|$26,083,784|$1.64|15,949,230|$56,224|-0.13%|-6.76%|-0.80%|True|False
127|Fujinto|NTO|$25,777,436|$0.465367|55,391,669|$488,972|2.15%|?|?|True|False
128|LBRY Credits|LBC|$25,363,607|$0.370139|68,524,524|$1,401,975|-0.15%|-7.75%|9.82%|False|False
