#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 1,589,957,596|$ 136.65|11,635,675|Low Vol|0.11 %|2.36 %|13.53 %|False|False
2|Litecoin|LTC|$ 54,179,154|$ 2.60|20,845,933|Low Vol|0.09 %|-2.45 %|-2.81 %|False|False
3|Ripple|XRP|$ 44,281,968|$ 0.005664|7,817,889,792|Low Vol|0.03 %|-4.22 %|0.84 %|True|False
4|Namecoin|NMC|$ 3,732,293|$ 0.575826|6,481,628|Low Vol|-0.05 %|-3.80 %|-7.48 %|False|False
5|Peercoin|PPC|$ 3,614,156|$ 0.179534|20,130,787|Low Vol|-0.09 %|1.34 %|5.63 %|False|False
6|Feathercoin|FTC|$ 2,285,432|$ 0.153361|14,902,317|Low Vol|-0.02 %|-2.54 %|16.86 %|False|False
7|Novacoin|NVC|$ 1,491,014|$ 3.92|380,844|Low Vol|0.16 %|-0.72 %|-17.65 %|False|False
8|Primecoin|XPM|$ 1,013,297|$ 0.543887|1,863,064|Low Vol|-0.16 %|-3.36 %|-28.73 %|False|False
9|Terracoin|TRC|$ 652,485|$ 0.178399|3,657,447|Low Vol|0.07 %|-2.62 %|1.85 %|False|False
10|Infinitecoin|IFC|$ 341,210|$ 0.000004|75,965,482,780|Low Vol|-0.23 %|-20.58 %|-13.78 %|False|False
11|Devcoin|DVC|$ 271,995|$ 0.000052|5,195,533,938|Low Vol|0.12 %|-10.27 %|-11.23 %|False|False
12|Freicoin|FRC|$ 212,259|$ 0.008382|25,323,989|Low Vol|0.17 %|2.76 %|-1.42 %|False|False
13|Anoncoin|ANC|$ 170,722|$ 0.391659|435,895|Low Vol|-0.36 %|164.06 %|281.67 %|False|False
14|Digitalcoin|DGC|$ 162,543|$ 0.020687|7,857,186|Low Vol|0.13 %|-13.11 %|-38.69 %|False|False
15|GoldCoin|GLD|$ 136,537|$ 0.005194|26,288,690|Low Vol|1.03 %|7.97 %|-26.69 %|False|False
16|Crypto Bullion|CBX|$ 124,201|$ 0.171482|724,278|Low Vol|0.72 %|4.34 %|24.57 %|False|False
17|Megacoin|MEC|$ 106,181|$ 0.006062|17,514,688|Low Vol|0.12 %|6.61 %|-14.12 %|False|False
18|Ixcoin|IXC|$ 105,853|$ 0.006977|15,171,513|Low Vol|0.11 %|0.81 %|10.12 %|True|False
19|Mincoin|MNC|$ 100,802|$ 0.078115|1,290,434|Low Vol|0.35 %|-17.98 %|80.27 %|False|False
20|WorldCoin|WDC|$ 80,782|$ 0.004398|18,367,052|Low Vol|-1.41 %|-13.03 %|-30.59 %|False|False
21|CHNCoin|CNC|$ 61,133|$ 0.011629|5,256,994|Low Vol|0.09 %|2.26 %|61.03 %|False|False
22|Quark|QRK|$ 55,889|$ 0.000298|187,324,476|Low Vol|-0.74 %|-10.63 %|?|False|False
23|Memecoin|MEM|$ 48,562|$ 0.001549|31,359,443|Low Vol|0.19 %|43.10 %|70.87 %|False|False
24|Yacoin|YAC|$ 41,614|$ 0.006669|6,239,889|Low Vol|0.62 %|15.78 %|-57.08 %|False|False
25|Fastcoin|FST|$ 30,066|$ 0.001380|21,789,346|Low Vol|-1.06 %|-9.56 %|-45.44 %|False|False
26|XenCoin|XNC|$ 27,110|$ 0.000154|175,795,350|Low Vol|0.02 %|-3.85 %|1.69 %|False|False
27|BBQCoin|BQC|$ 23,607|$ 0.001009|23,407,169|Low Vol|5.89 %|39.93 %|-57.32 %|False|False
28|Phoenixcoin|PXC|$ 20,841|$ 0.006001|3,472,950|Low Vol|-0.06 %|-33.81 %|-70.61 %|False|False
29|GameCoin|GME|$ 19,961|$ 0.000350|57,004,730|Low Vol|0.05 %|-3.80 %|?|False|False
30|Bottlecaps|CAP|$ 17,335|$ 0.024097|719,383|Low Vol|2.14 %|?|?|False|False
31|Franko|FRK|$ 14,840|$ 0.281109|52,792|Low Vol|-1.67 %|-0.82 %|-55.83 %|False|False
32|AlphaCoin|ALF|$ 13,686|$ 0.001058|12,937,416|Low Vol|-0.18 %|6.23 %|26.78 %|False|False
33|Bytecoin|BTE|$ 12,378|$ 0.013212|936,890|Low Vol|2.21 %|1.26 %|-16.18 %|False|False
34|EZCoin|EZC|$ 12,356|$ 0.001588|7,779,188|Low Vol|0.02 %|-6.26 %|-62.39 %|False|False
35|Luckycoin|LKY|$ 12,331|$ 0.001947|6,334,889|Low Vol|-1.09 %|-2.03 %|-55.74 %|False|False
36|BitBar|BTB|$ 9,166|$ 1.70|5,400|Low Vol|-0.16 %|1.74 %|-41.26 %|False|False
37|Doubloons|DBL|$ 8,582|$ 0.013884|618,123|Low Vol|-1.93 %|-11.47 %|-54.24 %|False|False
