#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 3,329,235,246|$ 233.28|14,271,617|$ 12,942,317|0.06 %|1.41 %|3.33 %|False|False
2|Ripple|XRP|$ 260,574,585|$ 0.008166|31,908,551,587|$ 115,822|0.09 %|1.77 %|3.17 %|True|False
3|Litecoin|LTC|$ 77,248,522|$ 1.94|39,893,251|$ 2,110,525|0.66 %|7.38 %|10.19 %|False|False
4|BitShares|BTS|$ 17,438,488|$ 0.006942|2,511,953,117|$ 102,785|-0.03 %|2.49 %|1.00 %|True|False
5|Dogecoin|DOGE|$ 16,769,557|$ 0.000168|99,788,635,997|$ 271,684|0.21 %|4.73 %|8.44 %|False|False
6|Stellar|STR|$ 15,771,568|$ 0.003260|4,837,354,256|$ 31,830|0.06 %|4.40 %|4.25 %|True|False
7|Dash|DASH|$ 15,177,484|$ 2.78|5,457,167|$ 67,528|-0.10 %|-0.56 %|-1.31 %|False|False
8|Nxt|NXT|$ 11,721,444|$ 0.011721|999,997,096|$ 65,873|0.03 %|4.02 %|3.19 %|True|False
9|BanxShares|BANX|$ 9,178,034|$ 1.57|5,863,754|$ 15,946|0.07 %|1.40 %|3.32 %|True|False
10|MaidSafeCoin|MAID|$ 7,543,406|$ 0.016669|452,552,412|$ 1,014|0.08 %|1.85 %|8.35 %|True|False
11|Peercoin|PPC|$ 7,147,968|$ 0.319035|22,404,991|$ 123,684|0.41 %|7.11 %|7.82 %|False|False
12|Bytecoin|BCN|$ 5,004,809|$ 0.000029|173,737,813,781|$ 6,469|-0.13 %|-1.45 %|-2.76 %|False|False
13|Monero|XMR|$ 3,920,221|$ 0.484994|8,083,028|$ 34,514|-0.04 %|1.95 %|-8.01 %|False|False
14|Namecoin|NMC|$ 3,834,951|$ 0.326527|11,744,654|$ 17,885|0.24 %|2.30 %|4.15 %|False|False
15|Counterparty|XCP|$ 3,817,117|$ 1.45|2,640,421|$ 15,600|1.13 %|29.05 %|69.20 %|True|False
16|MonaCoin|MONA|$ 3,224,717|$ 0.158476|20,348,252|$ 7,686|0.24 %|3.64 %|29.06 %|False|False
17|BlackCoin|BLK|$ 2,824,926|$ 0.037700|74,931,077|$ 97,648|0.01 %|7.15 %|14.19 %|True|False
18|YbCoin|YBC|$ 2,788,069|$ 0.929356|3,000,000|$ 48,080|0.07 %|4.99 %|2.04 %|True|False
19|Vertcoin|VTC|$ 2,494,663|$ 0.158740|15,715,395|$ 182,430|-2.07 %|-21.72 %|-5.72 %|False|False
20|SuperNET|UNITY|$ 2,297,587|$ 2.82|816,061|$ 4,322|0.04 %|2.15 %|13.62 %|True|False
21|Primecoin|XPM|$ 1,873,503|$ 0.180575|10,375,215|$ 771,896|1.20 %|54.43 %|204.94 %|False|False
22|Startcoin|START|$ 1,773,550|$ 0.069038|25,689,427|$ 22,041|0.10 %|-0.79 %|55.55 %|False|True
23|NuShares|NSR|$ 1,739,833|$ 0.002140|813,106,583|$ 283|-0.17 %|1.11 %|4.26 %|True|False
24|BitcoinDark|BTCD|$ 1,672,685|$ 1.37|1,221,276|$ 6,982|0.35 %|-7.59 %|17.24 %|False|False
25|Infinitecoin|IFC|$ 1,605,121|$ 0.000018|90,596,272,367|$ 27,133|0.03 %|7.22 %|-27.75 %|False|False
26|FuelCoin|FC2|$ 1,452,006|$ 0.014490|100,206,032|$ 140|-0.44 %|4.75 %|4.69 %|False|True
27|FairCoin|FAIR|$ 1,447,342|$ 0.027928|51,824,670|$ 928|3.67 %|25.47 %|-32.71 %|True|False
28|DigitalNote|XDN|$ 1,402,672|$ 0.000205|6,841,598,354|$ 7,663|-0.18 %|0.41 %|-12.73 %|False|False
29|DNotes|NOTE|$ 1,397,572|$ 0.013928|100,343,163|$ 743|0.02 %|1.43 %|-2.26 %|False|False
