#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 5,089,269,792|$ 374.74|13,580,768|$ 5,850,359|0.01 %|0.08 %|-0.85 %|False|False
2|Ripple|XRP|$ 447,130,145|$ 0.014479|30,881,360,458|$ 1,443,288|0.10 %|5.02 %|6.55 %|True|False
3|Litecoin|LTC|$ 127,274,778|$ 3.69|34,473,097|$ 1,693,765|0.25 %|2.15 %|2.64 %|False|False
4|BitShares|BTS|$ 42,884,169|$ 0.017168|2,497,973,773|$ 236,042|0.07 %|-5.20 %|-11.17 %|True|False
5|MaidSafeCoin|MAID|$ 26,692,949|$ 0.058983|452,552,412|$ 68,868|0.33 %|20.60 %|111.50 %|True|False
6|Dogecoin|DOGE|$ 22,111,931|$ 0.000229|96,483,067,213|$ 420,722|0.02 %|-1.35 %|-5.60 %|False|False
7|Nxt|NXT|$ 19,371,331|$ 0.019371|999,997,096|$ 25,515|0.05 %|-0.34 %|-1.71 %|True|False
8|Peercoin|PPC|$ 15,810,809|$ 0.721239|21,921,737|$ 17,020|0.10 %|0.67 %|-2.56 %|False|False
9|Counterparty|XCP|$ 15,172,685|$ 5.73|2,646,827|$ 11,671|-0.19 %|3.00 %|6.47 %|True|False
10|Dash|DASH|$ 11,577,847|$ 2.35|4,921,950|$ 51,399|0.01 %|-0.12 %|-1.63 %|False|False
11|Namecoin|NMC|$ 9,365,555|$ 0.897326|10,437,181|$ 3,096|-0.04 %|0.36 %|0.27 %|False|False
12|Stellar|STR|$ 8,327,316|$ 0.002349|3,544,879,573|$ 34,538|-0.08 %|-0.41 %|0.36 %|True|False
13|FuelCoin|FC2|$ 6,866,427|$ 0.068595|100,101,526|$ 48,758|0.53 %|14.77 %|24.42 %|False|True
14|NuShares|NSR|$ 3,981,137|$ 0.006582|604,847,242|$ 51,149|0.02 %|-5.78 %|62.16 %|True|False
15|SuperNET|UNITY|$ 3,492,530|$ 4.28|816,061|$ 10,156|-0.26 %|-1.40 %|16.90 %|True|False
16|BanxShares|BANX|$ 2,907,490|$ 1.12|2,586,882|$ 5,113|0.04 %|0.39 %|-0.86 %|True|False
17|Mastercoin (...|MSC|$ 2,686,048|$ 4.77|563,162|$ 2,042|1.19 %|9.37 %|57.10 %|True|False
18|BitcoinDark|BTCD|$ 2,556,082|$ 2.14|1,194,759|$ 5,735|0.26 %|2.85 %|-6.80 %|False|False
19|Monero|XMR|$ 2,297,797|$ 0.456054|5,038,435|$ 20,201|0.26 %|6.10 %|-20.06 %|False|False
20|NuBits|NBT|$ 2,243,313|$ 0.998968|2,245,631|$ 3,936|-0.02 %|0.02 %|-0.30 %|True|False
21|BlackCoin|BLK|$ 2,042,950|$ 0.027339|74,725,873|$ 14,549|-0.07 %|-1.32 %|-0.57 %|True|False
22|YbCoin|YBC|$ 2,018,314|$ 0.672771|3,000,000|$ 30,877|0.14 %|-1.07 %|-2.76 %|True|False
23|Swarm|SWARM|$ 1,830,536|$ 0.018305|100,000,000|$ 91|-0.43 %|9.51 %|21.08 %|True|False
24|NXTventure|NXTV|$ 1,778,878|$ 1.78|1,000,000|$ 3,976|-1.71 %|-7.77 %|7.46 %|True|False
25|Feathercoin|FTC|$ 1,441,229|$ 0.023065|62,485,090|$ 11,762|-0.64 %|-4.21 %|-10.62 %|False|False
26|Bytecoin|BCN|$ 1,406,585|$ 0.000008|166,472,274,367|$ 2,250|-0.48 %|-1.72 %|18.74 %|False|False
27|InstantDEX|DEX|$ 1,253,233|$ 1.25|1,000,000|$ 712|0.36 %|0.98 %|7.77 %|True|False
