#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$21,485,886,958|$1318.00|16,301,846|$369,247,414|-0.03%|-0.34%|7.62%|False|False
2|Ethereum|ETH|$6,310,150,888|$69.21|91,177,028|$130,621,410|0.09%|-0.19%|42.78%|False|False
3|Ripple|XRP|$1,974,110,384|$0.052108|37,884,902,021|$89,875,468|-0.61%|3.81%|65.08%|True|False
4|Litecoin|LTC|$806,203,532|$15.85|50,868,338|$48,897,697|0.05%|8.21%|14.42%|False|False
5|Dash|DASH|$686,581,568|$94.55|7,261,251|$35,945,908|-0.03%|9.71%|33.29%|False|False
6|Ethereum Classic|ETC|$504,718,851|$5.54|91,161,793|$41,450,131|0.64%|13.02%|72.26%|False|False
7|NEM|XEM|$440,658,053|$0.048962|8,999,999,999|$4,419,689|0.11%|-0.53%|58.57%|True|False
8|Monero|XMR|$341,369,135|$23.74|14,379,964|$11,492,753|0.39%|5.71%|18.60%|False|False
9|Augur|REP|$182,972,128|$16.63|11,000,000|$3,979,651|-0.18%|11.74%|40.84%|True|False
10|Golem|GNT|$145,606,638|$0.177569|820,000,000|$7,790,567|0.89%|11.20%|83.47%|True|False
11|MaidSafeCoin|MAID|$120,646,349|$0.266591|452,552,412|$1,625,477|0.11%|2.95%|16.99%|True|False
12|Zcash|ZEC|$114,608,391|$95.76|1,196,877|$11,277,746|-0.31%|8.98%|41.51%|False|False
13|PIVX|PIVX|$96,288,508|$1.81|53,186,459|$1,513,769|0.72%|20.71%|23.49%|True|False
14|Dogecoin|DOGE|$82,206,530|$0.000753|109,172,414,646|$5,298,606|0.13%|3.24%|54.05%|False|False
15|Decred|DCR|$76,278,345|$15.94|4,784,683|$985,613|0.35%|6.11%|2.58%|False|False
16|Stratis|STRAT|$72,769,761|$0.739788|98,365,698|$1,488,251|0.37%|10.71%|20.14%|True|False
17|Factom|FCT|$70,879,395|$8.10|8,753,219|$2,701,406|-0.20%|7.56%|28.51%|True|False
18|Steem|STEEM|$67,960,957|$0.288848|235,283,052|$1,383,265|-0.04%|9.19%|28.05%|False|False
19|Waves|WAVES|$59,788,334|$0.597883|100,000,000|$276,623|0.42%|-0.58%|22.11%|True|False
20|Tether|USDT|$59,032,387|$0.936820|63,013,598|$24,567,239|-0.01%|0.11%|0.54%|True|False
21|Lisk|LSK|$58,881,507|$0.553675|106,346,697|$1,849,992|0.60%|6.43%|51.69%|True|False
22|DigixDAO|DGD|$58,672,845|$29.34|2,000,000|$383,150|0.26%|7.15%|47.04%|True|False
23|GameCredits|GAME|$55,989,989|$0.901071|62,137,150|$804,922|-0.04%|5.39%|9.68%|False|False
24|Round|ROUND|$55,322,252|$0.065085|850,000,000|$160,094|-0.40%|46.89%|63.16%|True|False
25|BitConnect|BCC|$54,661,357|$8.88|6,152,954|$496,744|-0.08%|-1.43%|-10.64%|False|False
26|SingularDTV|SNGLS|$53,791,895|$0.089653|600,000,000|$424,059|0.46%|29.28%|42.74%|True|False
27|Ardor|ARDR|$50,983,813|$0.051035|998,999,495|$661,804|0.09%|9.41%|65.07%|True|False
28|Stellar Lumens|XLM|$47,873,436|$0.005138|9,317,265,511|$3,969,364|0.25%|9.44%|47.32%|True|False
29|Iconomi|ICN|$46,525,654|$0.534778|87,000,000|$449,204|0.06%|2.58%|24.28%|True|False
30|BitShares|BTS|$42,703,033|$0.016436|2,598,162,083|$2,338,491|0.56%|7.35%|35.26%|True|False
31|iExec RLC|RLC|$41,762,058|$0.534925|78,070,793|$286,725|0.27%|13.61%|61.21%|True|False
32|Byteball|GBYTE|$35,239,145|$219.87|160,276|$115,783|-0.16%|3.84%|74.11%|True|False
33|Bytecoin|BCN|$34,674,231|$0.000190|182,822,081,378|$54,145|0.06%|1.19%|7.53%|False|False
34|First Blood|1ST|$32,064,509|$0.374768|85,558,371|$896,102|0.52%|14.44%|34.37%|True|False
35|Nxt|NXT|$30,204,402|$0.030235|998,999,983|$1,383,692|0.09%|4.22%|51.90%|True|False
36|Siacoin|SC|$29,896,714|$0.001172|25,499,021,537|$2,217,328|1.62%|24.19%|51.39%|False|False
37|Peercoin|PPC|$29,678,069|$1.23|24,059,180|$691,499|-0.06%|2.76%|49.81%|False|False
38|SysCoin|SYS|$27,803,351|$0.053017|524,421,908|$683,166|0.24%|4.33%|72.81%|False|False
39|Emercoin|EMC|$26,030,707|$0.651374|39,962,746|$470,695|0.17%|7.34%|33.87%|False|False
40|Melon|MLN|$21,820,183|$36.40|599,400|$168,379|0.07%|5.14%|22.50%|True|False
