#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 3,403,713,889|$ 245.48|13,865,459|$ 11,950,805|0.01 %|0.31 %|-5.13 %|False|False
2|Ripple|XRP|$ 425,361,378|$ 0.013331|31,908,551,587|$ 369,371|0.01 %|-0.37 %|-10.11 %|True|False
3|Litecoin|LTC|$ 68,072,573|$ 1.86|36,676,065|$ 949,616|0.02 %|0.17 %|-5.28 %|False|False
4|GridPay|GRID|$ 21,747,772|$ 0.724800|30,005,199|$ 16,754|0.18 %|?|?|True|False
5|BitShares|BTS|$ 21,633,773|$ 0.008654|2,499,765,153|$ 67,275|0.24 %|2.67 %|-3.40 %|True|False
6|Dogecoin|DOGE|$ 14,328,128|$ 0.000146|98,232,650,596|$ 35,779|0.10 %|1.01 %|-3.27 %|False|False
7|Dash|DASH|$ 14,178,932|$ 2.76|5,145,164|$ 113,064|-0.13 %|0.56 %|0.14 %|False|False
8|MaidSafeCoin|MAID|$ 13,969,593|$ 0.030868|452,552,412|$ 922|0.09 %|-0.42 %|-12.98 %|True|False
9|Stellar|STR|$ 11,349,381|$ 0.003142|3,611,680,803|$ 4,770|-0.63 %|-2.55 %|-12.68 %|True|False
10|Nxt|NXT|$ 11,267,246|$ 0.011267|999,997,096|$ 12,838|0.06 %|-0.72 %|-6.75 %|True|False
11|PayCoin|XPY|$ 9,642,658|$ 0.717983|13,430,196|$ 23,183|0.00 %|2.96 %|-19.83 %|False|True
12|Peercoin|PPC|$ 8,549,213|$ 0.386806|22,102,094|$ 9,893|-0.00 %|0.22 %|-6.17 %|False|False
13|Namecoin|NMC|$ 5,484,706|$ 0.500155|10,966,010|$ 3,828|0.03 %|-0.13 %|-7.41 %|False|False
14|BanxShares|BANX|$ 4,773,438|$ 1.33|3,600,882|$ 4,618|0.01 %|0.32 %|-5.13 %|True|False
15|Counterparty|XCP|$ 3,370,163|$ 1.27|2,646,359|$ 2,508|0.88 %|2.62 %|-17.47 %|True|False
16|NuShares|NSR|$ 2,812,300|$ 0.003964|709,382,311|$ 1,303|0.12 %|-4.29 %|-19.00 %|True|False
17|YbCoin|YBC|$ 2,799,995|$ 0.933332|3,000,000|$ 25,064|-0.27 %|-3.43 %|-4.66 %|True|False
18|Rimbit|RBT|$ 2,589,505|$ 0.023127|111,971,133|$ 59|-7.31 %|-50.20 %|?|True|False
19|NuBits|NBT|$ 2,190,432|$ 0.975201|2,246,134|$ 23,635|-0.94 %|-2.82 %|-2.93 %|True|False
20|SuperNET|UNITY|$ 2,119,071|$ 2.60|816,061|$ 1,380|0.07 %|0.10 %|-3.81 %|True|False
21|Monero|XMR|$ 1,923,026|$ 0.301813|6,371,573|$ 14,411|-0.30 %|1.06 %|10.36 %|False|False
22|Bytecoin|BCN|$ 1,756,660|$ 0.000010|169,881,758,616|$ 447|-0.27 %|-1.23 %|-2.15 %|False|False
